Participant,Device,Method,Size,Offset,aligned(Offset) for Device,aligned(Offset) for Method,aligned(Offset) for Device*Method,aligned(Offset) for Size,aligned(Offset) for Device*Size,aligned(Offset) for Method*Size,aligned(Offset) for Device*Method*Size,ART(Offset) for Device,ART(Offset) for Method,ART(Offset) for Device*Method,ART(Offset) for Size,ART(Offset) for Device*Size,ART(Offset) for Method*Size,ART(Offset) for Device*Method*Size
P1,Normal,Normal,ThreeQuarters,0.1423,-0.0150855295417659449566628681,-0.0276047013291023061642503648,-0.0340371664840127875889869706,-0.0168399576517270498416256211,-0.0198141809580315744202618749,-0.0369618830656361816721507941,-0.0425992844470541736577984445,665,524,461,626,588,430,384
P1,Normal,Normal,ThreeQuarters,0.0685,-0.0888855295417659449566628681,-0.1014047013291023061642503648,-0.1078371664840127875889869706,-0.0906399576517270498416256211,-0.0936141809580315744202618749,-0.1107618830656361816721507941,-0.1163992844470541736577984445,110,75,59,118,102,57,38
P1,Normal,Normal,ThreeQuarters,0.0563,-0.1010855295417659449566628681,-0.1136047013291023061642503648,-0.1200371664840127875889869706,-0.1028399576517270498416256211,-0.1058141809580315744202618749,-0.1229618830656361816721507941,-0.1285992844470541736577984445,52,53,39,67,64,33,25
P1,Normal,Normal,ThreeQuarters,0.1979,0.0405144704582340550433371319,0.0279952986708976938357496352,0.0215628335159872124110130294,0.0387600423482729501583743789,0.0357858190419684255797381251,0.0186381169343638183278492059,0.0130007155529458263422015555,941,890,864,924,925,844,828
P1,Normal,Normal,ThreeQuarters,0,-0.1573855295417659449566628681,-0.1699047013291023061642503648,-0.1763371664840127875889869706,-0.1591399576517270498416256211,-0.1621141809580315744202618749,-0.1792618830656361816721507941,-0.1848992844470541736577984445,2,3,2,2,2,2,2
P1,Normal,Normal,ThreeQuarters,0.0487,-0.1086855295417659449566628681,-0.1212047013291023061642503648,-0.1276371664840127875889869706,-0.1104399576517270498416256211,-0.1134141809580315744202618749,-0.1305618830656361816721507941,-0.1361992844470541736577984445,40,43,28,53,42,25,18
P1,Normal,Normal,ThreeQuarters,0.1599,0.0025144704582340550433371319,-0.0100047013291023061642503648,-0.0164371664840127875889869706,0.0007600423482729501583743789,-0.0022141809580315744202618749,-0.0193618830656361816721507941,-0.0249992844470541736577984445,779,682,614,757,725,600,544
P1,Normal,Clipped,Quarter,0.123,0.0428046992770343024150130750,0.0140080128698149002717530637,0.0193889875916525662718556120,0.0070194113372478504633239449,0.0144834642015232648125048916,0.0226468271344254038186259893,0.0147472670237731778752421440,945,831,852,798,825,870,832
P1,Normal,Clipped,Quarter,0.0246,-0.0555953007229656975849869250,-0.0843919871301850997282469363,-0.0790110124083474337281443880,-0.0913805886627521495366760551,-0.0839165357984767351874951084,-0.0757531728655745961813740107,-0.0836527329762268221247578560,329,119,157,112,142,171,132
P1,Normal,Clipped,Quarter,0.059,-0.0211953007229656975849869250,-0.0499919871301850997282469363,-0.0446110124083474337281443880,-0.0569805886627521495366760551,-0.0495165357984767351874951084,-0.0413531728655745961813740107,-0.0492527329762268221247578560,609,321,367,297,354,386,337
P1,Normal,Clipped,Quarter,0.0492,-0.0309953007229656975849869250,-0.0597919871301850997282469363,-0.0544110124083474337281443880,-0.0667805886627521495366760551,-0.0593165357984767351874951084,-0.0511531728655745961813740107,-0.0590527329762268221247578560,543,269,309,246,287,331,275
P1,Normal,Clipped,Quarter,0.0169,-0.0632953007229656975849869250,-0.0920919871301850997282469363,-0.0867110124083474337281443880,-0.0990805886627521495366760551,-0.0916165357984767351874951084,-0.0834531728655745961813740107,-0.0913527329762268221247578560,246,93,123,77,106,137,106
P1,Normal,Clipped,Quarter,0.047,-0.0331953007229656975849869250,-0.0619919871301850997282469363,-0.0566110124083474337281443880,-0.0689805886627521495366760551,-0.0615165357984767351874951084,-0.0533531728655745961813740107,-0.0612527329762268221247578560,530.5,250.5,291.5,226.5,272.5,313.5,262.5
P1,Normal,Clipped,Quarter,0.0258,-0.0543953007229656975849869250,-0.0831919871301850997282469363,-0.0778110124083474337281443880,-0.0901805886627521495366760551,-0.0827165357984767351874951084,-0.0745531728655745961813740107,-0.0824527329762268221247578560,335,127,168,121,149,183,137
P1,Normal,Clipped,Quarter,0.0239,-0.0562953007229656975849869250,-0.0850919871301850997282469363,-0.0797110124083474337281443880,-0.0920805886627521495366760551,-0.0846165357984767351874951084,-0.0764531728655745961813740107,-0.0843527329762268221247578560,322,116,156,110,141,165,130
P1,Normal,Clipped,Quarter,0.0532,-0.0269953007229656975849869250,-0.0557919871301850997282469363,-0.0504110124083474337281443880,-0.0627805886627521495366760551,-0.0553165357984767351874951084,-0.0471531728655745961813740107,-0.0550527329762268221247578560,570,293,341,264,316,350,304
P1,tPad,Clipped,ThreeQuarters,0.1159,0.0004843579620229366422259824,0.0135819185937206241774769694,0.0249559859533209787016893616,0.0406241768909789214357742277,0.0034338053325233366274515427,0.0228328681975879062614882522,0.0195289908487511055165558187,764.5,829.5,878.5,934.5,757.5,871.5,860.5
P1,tPad,Clipped,ThreeQuarters,0.1673,0.0518843579620229366422259824,0.0649819185937206241774769694,0.0763559859533209787016893616,0.0920241768909789214357742277,0.0548338053325233366274515427,0.0742328681975879062614882522,0.0709289908487511055165558187,971,1002,1027,1056,980,1021,1016
P1,tPad,Clipped,ThreeQuarters,0.2259,0.1104843579620229366422259824,0.1235819185937206241774769694,0.1349559859533209787016893616,0.1506241768909789214357742277,0.1134338053325233366274515427,0.1328328681975879062614882522,0.1295289908487511055165558187,1074,1099,1104,1115,1088,1103,1100
P1,tPad,Clipped,ThreeQuarters,0.0661,-0.0493156420379770633577740176,-0.0362180814062793758225230306,-0.0248440140466790212983106384,-0.0091758231090210785642257723,-0.0463661946674766633725484573,-0.0269671318024120937385117478,-0.0302710091512488944834441813,388,449,550,692,380,532,492
P1,tPad,Clipped,ThreeQuarters,0.0578,-0.0576156420379770633577740176,-0.0445180814062793758225230306,-0.0331440140466790212983106384,-0.0174758231090210785642257723,-0.0546661946674766633725484573,-0.0352671318024120937385117478,-0.0385710091512488944834441813,308.5,380.5,473.5,624.5,320.5,450.5,422.5
P1,tPad,Clipped,ThreeQuarters,0.1177,0.0022843579620229366422259824,0.0153819185937206241774769694,0.0267559859533209787016893616,0.0424241768909789214357742277,0.0052338053325233366274515427,0.0246328681975879062614882522,0.0213289908487511055165558187,777,835,883,943,771,882,864
P1,tPad,Clipped,ThreeQuarters,0.0819,-0.0335156420379770633577740176,-0.0204180814062793758225230306,-0.0090440140466790212983106384,0.0066241768909789214357742277,-0.0305661946674766633725484573,-0.0111671318024120937385117478,-0.0144710091512488944834441813,524,599,680,795,501,668,640
P1,tPad,Clipped,ThreeQuarters,0.1155,0.0000843579620229366422259824,0.0131819185937206241774769694,0.0245559859533209787016893616,0.0402241768909789214357742277,0.0030338053325233366274515427,0.0224328681975879062614882522,0.0191289908487511055165558187,762,826,877,930,755,866,858
P1,tPad,Clipped,ThreeQuarters,0.0822,-0.0332156420379770633577740176,-0.0201180814062793758225230306,-0.0087440140466790212983106384,0.0069241768909789214357742277,-0.0302661946674766633725484573,-0.0108671318024120937385117478,-0.0141710091512488944834441813,529,604,683,797,504,669,642
P1,Normal,Clipped,Half,0.1175,0.0230693457416807670614777214,-0.0057273406655386350817822899,-0.0003463659437009690816797416,-0.0013685526575818291710121847,-0.0076314165779204012550761095,-0.0012296796656504940613110476,0.0044205579920618153964902508,883,717,741,742,695,737,775
P1,Normal,Clipped,Half,0.0786,-0.0158306542583192329385222786,-0.0446273406655386350817822899,-0.0392463659437009690816797416,-0.0402685526575818291710121847,-0.0465314165779204012550761095,-0.0401296796656504940613110476,-0.0344794420079381846035097492,655,374,407,426,378,396,460
P1,Normal,Clipped,Half,0.0657,-0.0287306542583192329385222786,-0.0575273406655386350817822899,-0.0521463659437009690816797416,-0.0531685526575818291710121847,-0.0594314165779204012550761095,-0.0530296796656504940613110476,-0.0473794420079381846035097492,558,279,332,317,286,316,348
P1,Normal,Clipped,Half,0.0812,-0.0132306542583192329385222786,-0.0420273406655386350817822899,-0.0366463659437009690816797416,-0.0376685526575818291710121847,-0.0439314165779204012550761095,-0.0375296796656504940613110476,-0.0318794420079381846035097492,678,404,431,452,400,423,477
P1,Normal,Clipped,Half,0.0416,-0.0528306542583192329385222786,-0.0816273406655386350817822899,-0.0762463659437009690816797416,-0.0772685526575818291710121847,-0.0835314165779204012550761095,-0.0771296796656504940613110476,-0.0714794420079381846035097492,349,137,179,178,146,162,197
P1,Normal,Clipped,Half,0.0957,0.0012693457416807670614777214,-0.0275273406655386350817822899,-0.0221463659437009690816797416,-0.0231685526575818291710121847,-0.0294314165779204012550761095,-0.0230296796656504940613110476,-0.0173794420079381846035097492,769,525,567,566,508,565,621
P1,Normal,Clipped,Half,0.0771,-0.0173306542583192329385222786,-0.0461273406655386350817822899,-0.0407463659437009690816797416,-0.0417685526575818291710121847,-0.0480314165779204012550761095,-0.0416296796656504940613110476,-0.0359794420079381846035097492,640,354,394,417,370,383,444
P1,Normal,Clipped,Half,0.0876,-0.0068306542583192329385222786,-0.0356273406655386350817822899,-0.0302463659437009690816797416,-0.0312685526575818291710121847,-0.0375314165779204012550761095,-0.0311296796656504940613110476,-0.0254794420079381846035097492,729,455,509,499,449,495,536
P1,Normal,Clipped,Half,0,-0.0944306542583192329385222786,-0.1232273406655386350817822899,-0.1178463659437009690816797416,-0.1188685526575818291710121847,-0.1251314165779204012550761095,-0.1187296796656504940613110476,-0.1130794420079381846035097492,82.5,38.5,48.5,27.5,22.5,42.5,46.5
P1,tPad,Clipped,Half,0.0998,-0.0144784366507716761523868122,-0.0013808760190739886171358252,0.0099931913405263659070765670,0.0029779119888828172936342800,0.0159323390180700123361370399,0.0031167849808141524033354171,0.0034044214436904494243247205,670,747,807,769,832,772,769
P1,tPad,Clipped,Half,0.1593,0.0450215633492283238476131878,0.0581191239809260113828641748,0.0694931913405263659070765670,0.0624779119888828172936342800,0.0754323390180700123361370399,0.0626167849808141524033354171,0.0629044214436904494243247205,952,984,1005,992,1020,990,996
P1,tPad,Clipped,Half,0.1198,0.0055215633492283238476131878,0.0186191239809260113828641748,0.0299931913405263659070765670,0.0229779119888828172936342800,0.0359323390180700123361370399,0.0231167849808141524033354171,0.0234044214436904494243247205,801,852,898,871,926,874,870
P1,tPad,Clipped,Half,0.0828,-0.0314784366507716761523868122,-0.0183808760190739886171358252,-0.0070068086594736340929234330,-0.0140220880111171827063657200,-0.0010676609819299876638629601,-0.0138832150191858475966645829,-0.0135955785563095505756752795,538,608,692,645,731,643,648
P1,tPad,Clipped,Half,0.0757,-0.0385784366507716761523868122,-0.0254808760190739886171358252,-0.0141068086594736340929234330,-0.0211220880111171827063657200,-0.0081676609819299876638629601,-0.0209832150191858475966645829,-0.0206955785563095505756752795,482,551,642,591,689,578,591
P1,tPad,Clipped,Half,0.0909,-0.0233784366507716761523868122,-0.0102808760190739886171358252,0.0010931913405263659070765670,-0.0059220880111171827063657200,0.0070323390180700123361370399,-0.0057832150191858475966645829,-0.0054955785563095505756752795,597.5,676.5,749.5,712.5,782.5,703.5,707.5
P1,tPad,Clipped,Half,0.0661,-0.0481784366507716761523868122,-0.0350808760190739886171358252,-0.0237068086594736340929234330,-0.0307220880111171827063657200,-0.0177676609819299876638629601,-0.0305832150191858475966645829,-0.0302955785563095505756752795,394,461,556,502,602,499,491
P1,tPad,Clipped,Half,0.1048,-0.0094784366507716761523868122,0.0036191239809260113828641748,0.0149931913405263659070765670,0.0079779119888828172936342800,0.0209323390180700123361370399,0.0081167849808141524033354171,0.0084044214436904494243247205,708,776,834,801,854,798,799
P1,tPad,Clipped,Half,0.0775,-0.0367784366507716761523868122,-0.0236808760190739886171358252,-0.0123068086594736340929234330,-0.0193220880111171827063657200,-0.0063676609819299876638629601,-0.0191832150191858475966645829,-0.0188955785563095505756752795,496,574,660,609,702,603,610
P1,Normal,Clipped,ThreeQuarters,0.138,-0.0135599471876121622314515715,-0.0423566335948315643747115828,-0.0369756588729938983746090345,-0.0153143752975732671164143245,-0.0182885986038777916950505783,-0.0331056839909642822907003000,-0.0284883118045543558675317669,676,400,429,637,599,479,517
P1,Normal,Clipped,ThreeQuarters,0.1056,-0.0459599471876121622314515715,-0.0747566335948315643747115828,-0.0693756588729938983746090345,-0.0477143752975732671164143245,-0.0506885986038777916950505783,-0.0655056839909642822907003000,-0.0608883118045543558675317669,414,178,217,367,346,245,264
P1,Normal,Clipped,ThreeQuarters,0.0381,-0.1134599471876121622314515715,-0.1422566335948315643747115828,-0.1368756588729938983746090345,-0.1152143752975732671164143245,-0.1181885986038777916950505783,-0.1330056839909642822907003000,-0.1283883118045543558675317669,29,11,15,42,32,22,26
P1,Normal,Clipped,ThreeQuarters,0.191,0.0394400528123878377685484285,0.0106433664051684356252884172,0.0160243411270061016253909655,0.0376856247024267328835856755,0.0347114013961222083049494217,0.0198943160090357177092997000,0.0245116881954456441324682331,937,813,837,921,915,854,876
P1,Normal,Clipped,ThreeQuarters,0.1223,-0.0292599471876121622314515715,-0.0580566335948315643747115828,-0.0526756588729938983746090345,-0.0310143752975732671164143245,-0.0339885986038777916950505783,-0.0488056839909642822907003000,-0.0441883118045543558675317669,553,278,329,500,467,344,370
P1,Normal,Clipped,ThreeQuarters,0.1234,-0.0281599471876121622314515715,-0.0569566335948315643747115828,-0.0515756588729938983746090345,-0.0299143752975732671164143245,-0.0328885986038777916950505783,-0.0477056839909642822907003000,-0.0430883118045543558675317669,562,283,336,508,479,348,380
P1,Normal,Clipped,ThreeQuarters,0.1435,-0.0080599471876121622314515715,-0.0368566335948315643747115828,-0.0314756588729938983746090345,-0.0098143752975732671164143245,-0.0127885986038777916950505783,-0.0276056839909642822907003000,-0.0229883118045543558675317669,716.5,437.5,496.5,686.5,644.5,527.5,562.5
P1,Normal,Clipped,ThreeQuarters,0.1421,-0.0094599471876121622314515715,-0.0382566335948315643747115828,-0.0328756588729938983746090345,-0.0112143752975732671164143245,-0.0141885986038777916950505783,-0.0290056839909642822907003000,-0.0243883118045543558675317669,709,428,477,674,633,516,549
P1,Normal,Clipped,ThreeQuarters,0.0834,-0.0681599471876121622314515715,-0.0969566335948315643747115828,-0.0915756588729938983746090345,-0.0699143752975732671164143245,-0.0728885986038777916950505783,-0.0877056839909642822907003000,-0.0830883118045543558675317669,219,85,98,220,197,119,135
P1,tPad,Clipped,Quarter,0.2035,0.0890658394435044181237074639,0.1021634000752021056589584509,0.1135374674348024601831708431,0.0951747985426350558505293321,0.1182919419832425258646158349,0.1108022143398126092058313765,0.1154953308485955233647377423,1040,1075,1088,1064,1092,1088,1090
P1,tPad,Clipped,Quarter,0.0769,-0.0375341605564955818762925361,-0.0244365999247978943410415491,-0.0130625325651975398168291569,-0.0314252014573649441494706679,-0.0083080580167574741353841651,-0.0157977856601873907941686235,-0.0111046691514044766352622577,489,566,654,498,688,633,670
P1,tPad,Clipped,Quarter,0.0916,-0.0228341605564955818762925361,-0.0097365999247978943410415491,0.0016374674348024601831708431,-0.0167252014573649441494706679,0.0063919419832425258646158349,-0.0010977856601873907941686235,0.0035953308485955233647377423,601,685,755,627,778,738,773
P1,tPad,Clipped,Quarter,0.1282,0.0137658394435044181237074639,0.0268634000752021056589584509,0.0382374674348024601831708431,0.0198747985426350558505293321,0.0429919419832425258646158349,0.0355022143398126092058313765,0.0401953308485955233647377423,841,887,929,858,950,917,930
P1,tPad,Clipped,Quarter,0.1295,0.0150658394435044181237074639,0.0281634000752021056589584509,0.0395374674348024601831708431,0.0211747985426350558505293321,0.0442919419832425258646158349,0.0368022143398126092058313765,0.0414953308485955233647377423,849.5,892.5,934.5,862.5,955.5,922.5,932.5
P1,tPad,Clipped,Quarter,0.1258,0.0113658394435044181237074639,0.0244634000752021056589584509,0.0358374674348024601831708431,0.0174747985426350558505293321,0.0405919419832425258646158349,0.0331022143398126092058313765,0.0377953308485955233647377423,824,873,914,850,940,911,924
P1,tPad,Clipped,Quarter,0.2192,0.1047658394435044181237074639,0.1178634000752021056589584509,0.1292374674348024601831708431,0.1108747985426350558505293321,0.1339919419832425258646158349,0.1265022143398126092058313765,0.1311953308485955233647377423,1066,1094,1101,1086,1106,1098,1102
P1,tPad,Clipped,Quarter,0.1762,0.0617658394435044181237074639,0.0748634000752021056589584509,0.0862374674348024601831708431,0.0678747985426350558505293321,0.0909919419832425258646158349,0.0835022143398126092058313765,0.0881953308485955233647377423,996,1021,1051,1004,1057,1041,1057
P1,tPad,Clipped,Quarter,0.1953,0.0808658394435044181237074639,0.0939634000752021056589584509,0.1053374674348024601831708431,0.0869747985426350558505293321,0.1100919419832425258646158349,0.1026022143398126092058313765,0.1072953308485955233647377423,1026,1062,1077,1043,1087,1075,1085
P1,tPad,Normal,Quarter,0.0654,-0.0450265352841644271921966756,-0.0156514600325836987212731740,-0.0275711555221352093672325881,-0.0389175761850337894653748074,-0.0158004327444263194512883046,-0.0251632203673877610114676090,-0.0299928755624871684350406346,426,633,527,441,621,547,497
P1,tPad,Normal,Quarter,0.0916,-0.0188265352841644271921966756,0.0105485399674163012787268260,-0.0013711555221352093672325881,-0.0127175761850337894653748074,0.0103995672555736805487116954,0.0010367796326122389885323910,-0.0037928755624871684350406346,631.5,811.5,728.5,659.5,805.5,753.5,718.5
P1,tPad,Normal,Quarter,0.0916,-0.0188265352841644271921966756,0.0105485399674163012787268260,-0.0013711555221352093672325881,-0.0127175761850337894653748074,0.0103995672555736805487116954,0.0010367796326122389885323910,-0.0037928755624871684350406346,631.5,811.5,728.5,659.5,805.5,753.5,718.5
P1,tPad,Normal,Quarter,0.4283,0.3178734647158355728078033244,0.3472485399674163012787268260,0.3353288444778647906327674119,0.3239824238149662105346251926,0.3470995672555736805487116954,0.3377367796326122389885323910,0.3329071244375128315649593654,1160,1166,1166,1163,1166,1166,1166
P1,tPad,Normal,Quarter,0.1445,0.0340734647158355728078033244,0.0634485399674163012787268260,0.0515288444778647906327674119,0.0401824238149662105346251926,0.0632995672555736805487116954,0.0539367796326122389885323910,0.0491071244375128315649593654,922,999,967,929,997,976,961
P1,tPad,Normal,Quarter,0.0925,-0.0179265352841644271921966756,0.0114485399674163012787268260,-0.0004711555221352093672325881,-0.0118175761850337894653748074,0.0112995672555736805487116954,0.0019367796326122389885323910,-0.0028928755624871684350406346,637,820,740,669,811,761,729
P1,tPad,Normal,Quarter,0.1772,0.0667734647158355728078033244,0.0961485399674163012787268260,0.0842288444778647906327674119,0.0728824238149662105346251926,0.0959995672555736805487116954,0.0866367796326122389885323910,0.0818071244375128315649593654,1013,1067,1044,1020,1065,1053,1044
P1,tPad,Normal,Quarter,0.195,0.0845734647158355728078033244,0.1139485399674163012787268260,0.1020288444778647906327674119,0.0906824238149662105346251926,0.1137995672555736805487116954,0.1044367796326122389885323910,0.0996071244375128315649593654,1032,1087,1074,1053,1089,1077,1075
P1,tPad,Normal,Quarter,0.1057,-0.0047265352841644271921966756,0.0246485399674163012787268260,0.0127288444778647906327674119,0.0013824238149662105346251926,0.0244995672555736805487116954,0.0151367796326122389885323910,0.0103071244375128315649593654,736,875,821,762,874,831,812
P1,tPad,Normal,ThreeQuarters,0.136,0.0092428764805414551607445009,0.0386179517321221836316680025,0.0266982562425706729857085884,0.0493826954094974399542927462,0.0121923238510418551459700612,0.0292607699955883081237675732,0.0326983411786550054716217933,816,934,882,960,816,900,907
P1,tPad,Normal,ThreeQuarters,0.1468,0.0200428764805414551607445009,0.0494179517321221836316680025,0.0374982562425706729857085884,0.0601826954094974399542927462,0.0229923238510418551459700612,0.0400607699955883081237675732,0.0434983411786550054716217933,871,964,924,986,869,935,941
P1,tPad,Normal,ThreeQuarters,0.0922,-0.0345571235194585448392554991,-0.0051820482678778163683319975,-0.0171017437574293270142914116,0.0055826954094974399542927462,-0.0316076761489581448540299388,-0.0145392300044116918762324268,-0.0111016588213449945283782067,516,720,606,789,491,641,671
P1,tPad,Normal,ThreeQuarters,0.132,0.0052428764805414551607445009,0.0346179517321221836316680025,0.0226982562425706729857085884,0.0453826954094974399542927462,0.0081923238510418551459700612,0.0252607699955883081237675732,0.0286983411786550054716217933,796,917,872,950,789,886,892
P1,tPad,Normal,ThreeQuarters,0.1618,0.0350428764805414551607445009,0.0644179517321221836316680025,0.0524982562425706729857085884,0.0751826954094974399542927462,0.0379923238510418551459700612,0.0550607699955883081237675732,0.0584983411786550054716217933,927,1001,971,1024,936,979,986
P1,tPad,Normal,ThreeQuarters,0.1321,0.0053428764805414551607445009,0.0347179517321221836316680025,0.0227982562425706729857085884,0.0454826954094974399542927462,0.0082923238510418551459700612,0.0253607699955883081237675732,0.0287983411786550054716217933,799,918,873,951,791,887,894
P1,tPad,Normal,ThreeQuarters,0.1561,0.0293428764805414551607445009,0.0587179517321221836316680025,0.0467982562425706729857085884,0.0694826954094974399542927462,0.0322923238510418551459700612,0.0493607699955883081237675732,0.0527983411786550054716217933,905,986,956,1010,903,965,973
P1,tPad,Normal,ThreeQuarters,0.1712,0.0444428764805414551607445009,0.0738179517321221836316680025,0.0618982562425706729857085884,0.0845826954094974399542927462,0.0473923238510418551459700612,0.0644607699955883081237675732,0.0678983411786550054716217933,949,1018,989,1037,959,994,1006
P1,tPad,Normal,ThreeQuarters,0.13,0.0032428764805414551607445009,0.0326179517321221836316680025,0.0206982562425706729857085884,0.0433826954094974399542927462,0.0061923238510418551459700612,0.0232607699955883081237675732,0.0266983411786550054716217933,784,906,858,946,777,876,886
P1,tPad,Normal,Half,0.1335,-0.0028322299024372682435108182,0.0265428453491434602274126834,0.0146231498595919495814532693,0.0146241187372172252025102740,0.0275785457664044202450130339,0.0211786000485024482507734702,0.0214275467337223447845894385,747,882,832,835,888,861,865
P1,tPad,Normal,Half,0.0756,-0.0607322299024372682435108182,-0.0313571546508565397725873166,-0.0432768501404080504185467307,-0.0432758812627827747974897260,-0.0303214542335955797549869661,-0.0367213999514975517492265298,-0.0364724532662776552154105615,272.5,494.5,376.5,409.5,502.5,432.5,442.5
P1,tPad,Normal,Half,0.2343,0.0979677700975627317564891818,0.1273428453491434602274126834,0.1154231498595919495814532693,0.1154241187372172252025102740,0.1283785457664044202450130339,0.1219786000485024482507734702,0.1222275467337223447845894385,1054,1103,1089,1091,1101,1096,1094
P1,tPad,Normal,Half,0.1055,-0.0308322299024372682435108182,-0.0014571546508565397725873166,-0.0133768501404080504185467307,-0.0133758812627827747974897260,-0.0004214542335955797549869661,-0.0068213999514975517492265298,-0.0065724532662776552154105615,546,746,651,653,733,695,698
P1,tPad,Normal,Half,0.1065,-0.0298322299024372682435108182,-0.0004571546508565397725873166,-0.0123768501404080504185467307,-0.0123758812627827747974897260,0.0005785457664044202450130339,-0.0058213999514975517492265298,-0.0055724532662776552154105615,550,754,659,662,742,702,705
P1,tPad,Normal,Half,0.0821,-0.0542322299024372682435108182,-0.0248571546508565397725873166,-0.0367768501404080504185467307,-0.0367758812627827747974897260,-0.0238214542335955797549869661,-0.0302213999514975517492265298,-0.0299724532662776552154105615,337,560,430,455,558,503,499
P1,tPad,Normal,Half,0.2496,0.1132677700975627317564891818,0.1426428453491434602274126834,0.1307231498595919495814532693,0.1307241187372172252025102740,0.1436785457664044202450130339,0.1372786000485024482507734702,0.1375275467337223447845894385,1080,1113,1103,1106,1110,1109,1106
P1,tPad,Normal,Half,0.1741,0.0377677700975627317564891818,0.0671428453491434602274126834,0.0552231498595919495814532693,0.0552241187372172252025102740,0.0681785457664044202450130339,0.0617786000485024482507734702,0.0620275467337223447845894385,934,1007,978,974,1006,988,994
P1,tPad,Normal,Half,0.0922,-0.0441322299024372682435108182,-0.0147571546508565397725873166,-0.0266768501404080504185467307,-0.0266758812627827747974897260,-0.0137214542335955797549869661,-0.0201213999514975517492265298,-0.0198724532662776552154105615,428,641,531,540,636,590,602
P1,Normal,Normal,Quarter,0.0785,-0.0353167940063146510370331606,-0.0478359657936510122446206573,-0.0542684309485614936693572631,-0.0711020819461011029887222907,-0.0636380290818256886395413440,-0.0573477261284550745348150923,-0.0486212623597132316698688851,510,342,313,213,262,284,342
P1,Normal,Normal,Quarter,0.101,-0.0128167940063146510370331606,-0.0253359657936510122446206573,-0.0317684309485614936693572631,-0.0486020819461011029887222907,-0.0411380290818256886395413440,-0.0348477261284550745348150923,-0.0261212623597132316698688851,686,555,493,358,427,456,527
