Participant,Device,Method,Size,Angle
P2,tPad,Clipped,ThreeQuarters,1.1008
P2,tPad,Clipped,ThreeQuarters,0.2022
P2,tPad,Clipped,ThreeQuarters,1.6319
P2,tPad,Clipped,ThreeQuarters,0.821
P2,tPad,Clipped,ThreeQuarters,0.321
P2,tPad,Clipped,ThreeQuarters,0.2238
P2,tPad,Clipped,ThreeQuarters,1.2996
P2,tPad,Clipped,ThreeQuarters,1.0575
P2,Normal,Clipped,Half,1.2505
P2,Normal,Clipped,Half,1.5133
P2,Normal,Clipped,Half,0.52
P2,Normal,Clipped,Half,0.1461
P2,Normal,Clipped,Half,0.3979
P2,Normal,Clipped,Half,0.4042
P2,Normal,Clipped,Half,1.04
P2,Normal,Clipped,Half,2.5284
P2,Normal,Clipped,Half,0.5545
P2,tPad,Clipped,Half,1.3888
P2,tPad,Clipped,Half,2.556
P2,tPad,Clipped,Half,1.0708
P2,tPad,Clipped,Half,1.5386
P2,tPad,Clipped,Half,0.4903
P2,tPad,Clipped,Half,1.1287
P2,tPad,Clipped,Half,2.5314
P2,tPad,Clipped,Half,0.7657
P2,tPad,Clipped,Half,0.224
P2,Normal,Clipped,ThreeQuarters,0.3421
P2,Normal,Clipped,ThreeQuarters,0.3753
P2,Normal,Clipped,ThreeQuarters,0.1646
P2,Normal,Clipped,ThreeQuarters,0.5827
P2,Normal,Clipped,ThreeQuarters,1.3422
P2,Normal,Clipped,ThreeQuarters,0.1666
P2,Normal,Clipped,ThreeQuarters,0.3729
P2,Normal,Clipped,ThreeQuarters,0.2698
P2,Normal,Clipped,ThreeQuarters,1.0178
P2,tPad,Clipped,Quarter,2.7577
P2,tPad,Clipped,Quarter,0.3814
P2,tPad,Clipped,Quarter,0.9292
P2,tPad,Clipped,Quarter,0.4792
P2,tPad,Clipped,Quarter,1.0322
P2,tPad,Clipped,Quarter,1.1953
P2,tPad,Clipped,Quarter,1.278
P2,tPad,Clipped,Quarter,0.7147
P2,tPad,Clipped,Quarter,1.6908
P2,tPad,Normal,Quarter,0.5228
P2,tPad,Normal,Quarter,1.2252
P2,tPad,Normal,Quarter,1.1814
P2,tPad,Normal,Quarter,0.6522
P2,tPad,Normal,Quarter,2.6685
P2,tPad,Normal,Quarter,0.6597
P2,tPad,Normal,Quarter,1.9824
P2,tPad,Normal,Quarter,1.1367
P2,tPad,Normal,Quarter,1.1694
P2,tPad,Normal,ThreeQuarters,0.4044
P2,tPad,Normal,ThreeQuarters,0.2196
P2,tPad,Normal,ThreeQuarters,0.6181
P2,tPad,Normal,ThreeQuarters,0.5585
P2,tPad,Normal,ThreeQuarters,1.7822
P2,tPad,Normal,ThreeQuarters,0.894
P2,tPad,Normal,ThreeQuarters,0.377
P2,tPad,Normal,ThreeQuarters,0.999
P2,tPad,Normal,ThreeQuarters,0.0313
P2,tPad,Normal,Half,0.163
P2,tPad,Normal,Half,0.3223
P2,tPad,Normal,Half,1.6116
P2,tPad,Normal,Half,1.2766
P2,tPad,Normal,Half,1.715
P2,tPad,Normal,Half,0.5516
P2,tPad,Normal,Half,0.0851
P2,tPad,Normal,Half,0.168
P2,tPad,Normal,Half,0.429
P3,Normal,Normal,ThreeQuarters,0.787
P3,Normal,Normal,ThreeQuarters,0.7489
P3,Normal,Normal,ThreeQuarters,0.3673
P3,Normal,Normal,ThreeQuarters,2.2531
P3,Normal,Normal,ThreeQuarters,1.1864
P3,Normal,Normal,ThreeQuarters,1.4688
P3,Normal,Normal,ThreeQuarters,1.3599
P3,Normal,Normal,ThreeQuarters,1.757
P3,Normal,Normal,ThreeQuarters,1.4688
P3,Normal,Clipped,Quarter,0.4855
P3,Normal,Clipped,Quarter,1.3639
P3,Normal,Clipped,Quarter,4.3853
P3,Normal,Clipped,Quarter,0.4069
P3,Normal,Clipped,Quarter,2.9654
P3,Normal,Clipped,Quarter,1.5148
P3,Normal,Clipped,Quarter,2.9338
P3,Normal,Clipped,Quarter,1.7385
P3,Normal,Clipped,Quarter,0.5455
P3,Normal,Normal,Half,0
P3,Normal,Normal,Half,0.4658
P3,Normal,Normal,Half,0.4244
P3,Normal,Normal,Half,0.2418
P3,Normal,Normal,Half,2.2906
P3,Normal,Normal,Half,0.2114
P3,Normal,Normal,Half,0
P3,Normal,Normal,Half,1.7357
P3,Normal,Normal,Half,1.164
P3,Normal,Clipped,Half,0.3759
P3,Normal,Clipped,Half,0.8394
P3,Normal,Clipped,Half,0.5371
P3,Normal,Clipped,Half,0.2564
P3,Normal,Clipped,Half,0.3641
P3,Normal,Clipped,Half,0.758
P3,Normal,Clipped,Half,0.8232
P3,Normal,Clipped,Half,2.3302
P3,Normal,Clipped,Half,1.4754
P3,Normal,Normal,Quarter,1.4411
P3,Normal,Normal,Quarter,1.116
P3,Normal,Normal,Quarter,1.34
P3,Normal,Normal,Quarter,0.339
P3,Normal,Normal,Quarter,1.4764
P3,Normal,Normal,Quarter,0.3013
P3,Normal,Normal,Quarter,0.4182
P3,Normal,Normal,Quarter,1.6366
P3,Normal,Normal,Quarter,0.2491
P3,Normal,Clipped,ThreeQuarters,0.2809
P3,Normal,Clipped,ThreeQuarters,1.4255
P3,Normal,Clipped,ThreeQuarters,0.3419
P3,Normal,Clipped,ThreeQuarters,2.6692
P3,Normal,Clipped,ThreeQuarters,1.4354
P3,Normal,Clipped,ThreeQuarters,0.1656
P3,Normal,Clipped,ThreeQuarters,0.1605
P3,Normal,Clipped,ThreeQuarters,0.4908
P3,Normal,Clipped,ThreeQuarters,0.647
P3,tPad,Clipped,ThreeQuarters,1.2209
P3,tPad,Clipped,ThreeQuarters,0.6927
P3,tPad,Clipped,ThreeQuarters,0.3479
P3,tPad,Clipped,ThreeQuarters,0.5888
P3,tPad,Clipped,ThreeQuarters,0.2732
P3,tPad,Clipped,ThreeQuarters,0.1767
P3,tPad,Clipped,ThreeQuarters,0.788
P3,tPad,Clipped,ThreeQuarters,0.4189
P3,tPad,Clipped,ThreeQuarters,0.5548
P3,tPad,Normal,Quarter,1.923
P3,tPad,Normal,Quarter,0.4554
P3,tPad,Normal,Quarter,1.5925
P3,tPad,Normal,Quarter,0.8961
P3,tPad,Normal,Quarter,0.3942
P3,tPad,Normal,Quarter,0.3611
P3,tPad,Normal,Quarter,1.5949
P3,tPad,Normal,Quarter,0.5221
P3,tPad,Normal,Quarter,1.7156
P3,tPad,Clipped,Half,0.4728
P3,tPad,Clipped,Half,1.0798
P3,tPad,Clipped,Half,0.486
P3,tPad,Clipped,Half,0.9764
P3,tPad,Clipped,Half,0.5555
P3,tPad,Clipped,Half,0.0169
P3,tPad,Clipped,Half,0.7174
P3,tPad,Clipped,Half,0.9902
P3,tPad,Clipped,Half,0.8733
P3,tPad,Normal,Half,0.4103
P3,tPad,Normal,Half,1.3705
P3,tPad,Normal,Half,0.8095
P3,tPad,Normal,Half,0.6398
P3,tPad,Normal,Half,0.8677
P3,tPad,Normal,Half,0.9395
P3,tPad,Normal,Half,0.2215
P3,tPad,Normal,Half,0.9899
P3,tPad,Normal,Half,1.5414
P3,tPad,Clipped,Quarter,1.693
P3,tPad,Clipped,Quarter,0.0672
P3,tPad,Clipped,Quarter,0.5485
P3,tPad,Clipped,Quarter,0.6038
P3,tPad,Clipped,Quarter,0.3361
P3,tPad,Clipped,Quarter,3.5579
P3,tPad,Clipped,Quarter,0.6117
P3,tPad,Clipped,Quarter,0.7788
P3,tPad,Clipped,Quarter,1.1583
P3,tPad,Normal,ThreeQuarters,0.1233
P3,tPad,Normal,ThreeQuarters,0.1029
P3,tPad,Normal,ThreeQuarters,0.8577
P3,tPad,Normal,ThreeQuarters,0.565
P3,tPad,Normal,ThreeQuarters,0.77
P3,tPad,Normal,ThreeQuarters,0.3168
P3,tPad,Normal,ThreeQuarters,1.2275
P3,tPad,Normal,ThreeQuarters,1.0718
P3,tPad,Normal,ThreeQuarters,0.6305
P4,Normal,Clipped,Quarter,0.4262
P4,Normal,Clipped,Quarter,0.7056
P4,Normal,Clipped,Quarter,0.5979
P4,Normal,Clipped,Quarter,0.7364
P4,Normal,Clipped,Quarter,1.0306
P4,Normal,Clipped,Quarter,5.4616
P4,Normal,Clipped,Quarter,4.1077
P4,Normal,Clipped,Quarter,2.5212
P4,Normal,Clipped,Quarter,0.0256
P4,Normal,Clipped,Half,1.0148
P4,Normal,Clipped,Half,0.1529
P4,Normal,Clipped,Half,0.6486
