Participant,Device,Method,Size,Offset
P2,tPad,Clipped,ThreeQuarters,0.0904
P2,tPad,Clipped,ThreeQuarters,0.057
P2,tPad,Clipped,ThreeQuarters,0.0402
P2,tPad,Clipped,ThreeQuarters,0.0538
P2,tPad,Clipped,ThreeQuarters,0.0899
P2,tPad,Clipped,ThreeQuarters,0.018
P2,tPad,Clipped,ThreeQuarters,0.0806
P2,tPad,Clipped,ThreeQuarters,0.0576
P2,Normal,Clipped,Half,0.0907
P2,Normal,Clipped,Half,0.0516
P2,Normal,Clipped,Half,0.0746
P2,Normal,Clipped,Half,0.0278
P2,Normal,Clipped,Half,0.0471
P2,Normal,Clipped,Half,0.0307
P2,Normal,Clipped,Half,0.0204
P2,Normal,Clipped,Half,0.0945
P2,Normal,Clipped,Half,0
P2,tPad,Clipped,Half,0.0528
P2,tPad,Clipped,Half,0.099
P2,tPad,Clipped,Half,0.1454
P2,tPad,Clipped,Half,0.1575
P2,tPad,Clipped,Half,0.0672
P2,tPad,Clipped,Half,0.0761
P2,tPad,Clipped,Half,0.0676
P2,tPad,Clipped,Half,0.107
P2,tPad,Clipped,Half,0.1181
P2,Normal,Clipped,ThreeQuarters,0.1206
P2,Normal,Clipped,ThreeQuarters,0.0383
P2,Normal,Clipped,ThreeQuarters,0.0976
P2,Normal,Clipped,ThreeQuarters,0.1272
P2,Normal,Clipped,ThreeQuarters,0.0518
P2,Normal,Clipped,ThreeQuarters,0.1694
P2,Normal,Clipped,ThreeQuarters,0.0372
P2,Normal,Clipped,ThreeQuarters,0.0505
P2,Normal,Clipped,ThreeQuarters,0.0447
P2,tPad,Clipped,Quarter,0.0206
P2,tPad,Clipped,Quarter,0.0587
P2,tPad,Clipped,Quarter,0.0297
P2,tPad,Clipped,Quarter,0.0491
P2,tPad,Clipped,Quarter,0.0616
P2,tPad,Clipped,Quarter,0.0586
P2,tPad,Clipped,Quarter,0.0758
P2,tPad,Clipped,Quarter,0.0593
P2,tPad,Clipped,Quarter,0.0293
P2,tPad,Normal,Quarter,0.0208
P2,tPad,Normal,Quarter,0.0603
P2,tPad,Normal,Quarter,0.0464
P2,tPad,Normal,Quarter,0.0394
P2,tPad,Normal,Quarter,0.0702
P2,tPad,Normal,Quarter,0.0275
P2,tPad,Normal,Quarter,0.0275
P2,tPad,Normal,Quarter,0.0384
P2,tPad,Normal,Quarter,0.0444
P2,tPad,Normal,ThreeQuarters,0.0842
P2,tPad,Normal,ThreeQuarters,0.0187
P2,tPad,Normal,ThreeQuarters,0.0265
P2,tPad,Normal,ThreeQuarters,0.0414
P2,tPad,Normal,ThreeQuarters,0.0368
P2,tPad,Normal,ThreeQuarters,0.0413
P2,tPad,Normal,ThreeQuarters,0.0258
P2,tPad,Normal,ThreeQuarters,0.0407
P2,tPad,Normal,ThreeQuarters,0.0519
P2,tPad,Normal,Half,0.0415
P2,tPad,Normal,Half,0.0412
P2,tPad,Normal,Half,0.0767
P2,tPad,Normal,Half,0.0187
P2,tPad,Normal,Half,0.0263
P2,tPad,Normal,Half,0.0412
P2,tPad,Normal,Half,0.041
P2,tPad,Normal,Half,0.058
P2,tPad,Normal,Half,0.037
P3,Normal,Normal,ThreeQuarters,0.0447
P3,Normal,Normal,ThreeQuarters,0.1442
P3,Normal,Normal,ThreeQuarters,0.1299
P3,Normal,Normal,ThreeQuarters,0.0855
P3,Normal,Normal,ThreeQuarters,0.0382
P3,Normal,Normal,ThreeQuarters,0.0462
P3,Normal,Normal,ThreeQuarters,0.1695
P3,Normal,Normal,ThreeQuarters,0.0559
P3,Normal,Normal,ThreeQuarters,0.093
P3,Normal,Clipped,Quarter,0.0978
P3,Normal,Clipped,Quarter,0.0816
P3,Normal,Clipped,Quarter,0.0797
P3,Normal,Clipped,Quarter,0.0223
P3,Normal,Clipped,Quarter,0.047
P3,Normal,Clipped,Quarter,0.1044
P3,Normal,Clipped,Quarter,0.0657
P3,Normal,Clipped,Quarter,0.0522
P3,Normal,Clipped,Quarter,0.1054
P3,Normal,Normal,Half,0.1637
P3,Normal,Normal,Half,0.1501
P3,Normal,Normal,Half,0.1159
P3,Normal,Normal,Half,0.265
P3,Normal,Normal,Half,0.1198
P3,Normal,Normal,Half,0.0936
P3,Normal,Normal,Half,0.0428
P3,Normal,Normal,Half,0.032
P3,Normal,Normal,Half,0.1154
P3,Normal,Clipped,Half,0.0792
P3,Normal,Clipped,Half,0.0599
P3,Normal,Clipped,Half,0.0346
P3,Normal,Clipped,Half,0.1259
P3,Normal,Clipped,Half,0.0463
P3,Normal,Clipped,Half,0.0965
P3,Normal,Clipped,Half,0.0743
P3,Normal,Clipped,Half,0.0451
P3,Normal,Clipped,Half,0.0632
P3,Normal,Normal,Quarter,0.1373
P3,Normal,Normal,Quarter,0.1334
P3,Normal,Normal,Quarter,0.0796
P3,Normal,Normal,Quarter,0.056
P3,Normal,Normal,Quarter,0.0613
P3,Normal,Normal,Quarter,0.1014
P3,Normal,Normal,Quarter,0.1121
P3,Normal,Normal,Quarter,0.0309
P3,Normal,Normal,Quarter,0.0929
P3,Normal,Clipped,ThreeQuarters,0.1033
P3,Normal,Clipped,ThreeQuarters,0.128
P3,Normal,Clipped,ThreeQuarters,0.0362
P3,Normal,Clipped,ThreeQuarters,0.0212
P3,Normal,Clipped,ThreeQuarters,0.0156
P3,Normal,Clipped,ThreeQuarters,0.0776
P3,Normal,Clipped,ThreeQuarters,0.0793
P3,Normal,Clipped,ThreeQuarters,0.0825
P3,Normal,Clipped,ThreeQuarters,0.0627
P3,tPad,Clipped,ThreeQuarters,0.0799
P3,tPad,Clipped,ThreeQuarters,0.0563
P3,tPad,Clipped,ThreeQuarters,0.0953
P3,tPad,Clipped,ThreeQuarters,0.0565
P3,tPad,Clipped,ThreeQuarters,0.0644
P3,tPad,Clipped,ThreeQuarters,0.089
P3,tPad,Clipped,ThreeQuarters,0.0736
P3,tPad,Clipped,ThreeQuarters,0.1136
P3,tPad,Clipped,ThreeQuarters,0.0736
P3,tPad,Normal,Quarter,0.1114
P3,tPad,Normal,Quarter,0.0654
P3,tPad,Normal,Quarter,0.0402
P3,tPad,Normal,Quarter,0.0356
P3,tPad,Normal,Quarter,0.0406
P3,tPad,Normal,Quarter,0.0635
P3,tPad,Normal,Quarter,0.0755
P3,tPad,Normal,Quarter,0.0647
P3,tPad,Normal,Quarter,0.0557
P3,tPad,Clipped,Half,0.1196
P3,tPad,Clipped,Half,0.0904
P3,tPad,Clipped,Half,0.0532
P3,tPad,Clipped,Half,0.0252
P3,tPad,Clipped,Half,0.0399
P3,tPad,Clipped,Half,0.0978
P3,tPad,Clipped,Half,0.1273
P3,tPad,Clipped,Half,0.0927
