Participant,Ticks,Device,Method,Size,Trial,Capture,TimeMillis,Offset,Angle,CaptureRatio,MissRatio,Damaged
P1,635134659791325280,Normal,Clipped,ThreeQuarters,0,2,30114.7225,0.0381,0.1542,1.0825,0.0016,0
P1,635134660181967623,Normal,Clipped,ThreeQuarters,1,0,30111.7223,0.1910,2.8778,1.1921,0.0000,0
P1,635134660674125773,Normal,Clipped,ThreeQuarters,1,1,40579.321,0.1223,0.4140,1.1855,0.0000,0
P1,635134661074048647,Normal,Clipped,ThreeQuarters,1,2,30943.7698,0.1234,0.2888,1.2039,0.0000,0
P1,635134661456640530,Normal,Clipped,ThreeQuarters,2,0,31199.7845,0.1435,2.0757,1.1447,0.0000,0
P1,635134661889235273,Normal,Clipped,ThreeQuarters,2,1,29851.7074,0.1421,1.3219,1.1609,0.0000,0
P1,635134662247555768,Normal,Clipped,ThreeQuarters,2,2,28575.6344,0.0834,0.7827,1.1939,0.0000,0
P1,635134663006909201,tPad,Clipped,Quarter,0,0,42731.4441,0.2035,0.6780,1.3537,0.0030,0
P1,635134663388861047,tPad,Clipped,Quarter,0,1,17102.9782,0.0769,0.2453,1.2714,0.0002,0
P1,635134663895300014,tPad,Clipped,Quarter,0,2,20782.1887,0.0916,0.7848,1.2969,0.0000,0
P1,635134664152254711,tPad,Clipped,Quarter,1,0,19095.0922,0.1282,1.1778,1.2336,0.0098,0
P1,635134664480013457,tPad,Clipped,Quarter,1,1,26202.4987,0.1295,0.3772,1.3291,0.0000,0
P1,635134664796131538,tPad,Clipped,Quarter,1,2,17178.9825,0.1258,1.3157,1.2375,0.0000,0
P1,635134664993732841,tPad,Clipped,Quarter,2,0,18019.0307,0.2192,0.3633,1.2605,0.0535,0
P1,635134665238206824,tPad,Clipped,Quarter,2,1,17923.0252,0.1762,2.3400,1.3808,0.0000,0
P1,635134665626529034,tPad,Clipped,Quarter,2,2,27395.5669,0.1953,1.7308,1.0453,0.1120,0
P1,635134665921125884,tPad,Normal,Quarter,0,0,10967.6273,0.0654,1.9599,0.0000,0.0000,0
P1,635134666128887768,tPad,Normal,Quarter,0,1,11091.6344,0.0916,1.1782,0.0000,0.0000,0
P1,635134666332439410,tPad,Normal,Quarter,0,2,11667.6673,0.0916,1.0828,0.0000,0.0000,0
P1,635134666608165181,tPad,Normal,Quarter,1,0,14763.8445,0.4283,1.8840,0.0000,0.0000,0
P1,635134666793115759,tPad,Normal,Quarter,1,1,11500.6578,0.1445,1.9297,0.0000,0.0000,0
P1,635134666964875583,tPad,Normal,Quarter,1,2,9035.5168,0.0925,0.7315,0.0000,0.0000,0
P1,635134667146996000,tPad,Normal,Quarter,2,0,12227.6994,0.1772,1.8840,0.0000,0.0000,0
P1,635134667316775711,tPad,Normal,Quarter,2,1,8249.4718,0.1950,3.1108,0.0000,0.0000,0
P1,635134667466194257,tPad,Normal,Quarter,2,2,10607.6067,0.1057,1.0082,0.0000,0.0000,0
P1,635134667952472071,tPad,Normal,ThreeQuarters,0,0,32146.8387,0.1360,0.0733,0.0000,0.0000,0
P1,635134668093830156,tPad,Normal,ThreeQuarters,0,1,7323.4189,0.1468,0.7515,0.0000,0.0000,0
P1,635134668494073049,tPad,Normal,ThreeQuarters,0,2,7863.4498,0.0922,1.9478,0.0000,0.0000,0
P1,635134668689904249,tPad,Normal,ThreeQuarters,1,0,6235.3566,0.1320,1.0167,0.0000,0.0000,0
P1,635134668823421886,tPad,Normal,ThreeQuarters,1,1,6787.3882,0.1618,0.3255,0.0000,0.0000,0
P1,635134668952789286,tPad,Normal,ThreeQuarters,1,2,7928.4535,0.1321,0.7220,0.0000,0.0000,0
P1,635134669079386527,tPad,Normal,ThreeQuarters,2,0,6859.3924,0.1561,0.2186,0.0000,0.0000,0
P1,635134669209983996,tPad,Normal,ThreeQuarters,2,1,7444.4258,0.1712,0.3342,0.0000,0.0000,0
P1,635134669337341281,tPad,Normal,ThreeQuarters,2,2,5871.3358,0.1300,0.4989,0.0000,0.0000,0
P1,635134669649179117,tPad,Normal,Half,0,0,8807.5038,0.1335,1.2348,0.0000,0.0000,0
P1,635134669863851395,tPad,Normal,Half,0,1,6763.3868,0.0756,1.0424,0.0000,0.0000,0
P1,635134670002619332,tPad,Normal,Half,0,2,9807.5609,0.2343,0.0189,0.0000,0.0000,0
P1,635134670123506247,tPad,Normal,Half,1,0,6806.3893,0.1055,1.2934,0.0000,0.0000,0
P1,635134670253253668,tPad,Normal,Half,1,1,7841.4485,0.1065,0.5792,0.0000,0.0000,0
P1,635134670392811650,tPad,Normal,Half,1,2,8271.4731,0.0821,1.3329,0.0000,0.0000,0
P1,635134670507658219,tPad,Normal,Half,2,0,6648.3803,0.2496,0.4083,0.0000,0.0000,0
P1,635134670628975158,tPad,Normal,Half,2,1,5831.3335,0.1741,0.6082,0.0000,0.0000,0
P1,635134670737971392,tPad,Normal,Half,2,2,5987.3424,0.0922,1.1828,0.0000,0.0000,0
P1,635134738668541327,Normal,Normal,Quarter,0,0,14483.8284,0.0785,0.3673,0.0000,0.0000,0
