Participant,Device,Method,Size,TimeMillis,aligned(TimeMillis) for Device,aligned(TimeMillis) for Method,aligned(TimeMillis) for Device*Method,aligned(TimeMillis) for Size,aligned(TimeMillis) for Device*Size,aligned(TimeMillis) for Method*Size,aligned(TimeMillis) for Device*Method*Size,ART(TimeMillis) for Device,ART(TimeMillis) for Method,ART(TimeMillis) for Device*Method,ART(TimeMillis) for Size,ART(TimeMillis) for Device*Size,ART(TimeMillis) for Method*Size,ART(TimeMillis) for Device*Method*Size
P1,tPad,Normal,Quarter,12227.6994,3379.8352622076241664178361707,1477.9540316252036481170079576,5650.2501487765818729773269287,4696.0936972280037518245526817,4586.7958376561834255844819977,6205.3000071306833887285741497,6057.3122398905002778521609917,965,855,1044,1025,1022,1044,1050
P1,tPad,Normal,Quarter,8249.4718,-598.3923377923758335821638293,-2500.2735683747963518829920424,1672.0225487765818729773269287,717.8660972280037518245526817,608.5682376561834255844819977,2227.0724071306833887285741497,2079.0846398905002778521609917,741,613,920,857,847,951,943
P1,tPad,Normal,Quarter,10607.6067,1759.7425622076241664178361707,-142.1386683747963518829920424,4030.1574487765818729773269287,3076.0009972280037518245526817,2966.7031376561834255844819977,4585.2073071306833887285741497,4437.2195398905002778521609917,899,767,1006,971,975,1016,1012
P1,tPad,Normal,ThreeQuarters,32146.8387,24072.893581300761421319796955,22171.012350718340903018968742,26343.308467869719127879287713,25458.349613732694970004614675,25053.357035822062563206315231,26048.270120086051333957537897,26983.839269543973741527184371,1157,1151,1158,1158,1158,1160,1160
P1,tPad,Normal,ThreeQuarters,7323.4189,-750.526218699238578680203045,-2652.4074492816590969810312581,1519.888667869719127879287713,634.929813732694970004614675,229.937235822062563206315231,1224.850320086051333957537897,2160.419469543973741527184371,730.5,600.5,910.5,853.5,825.5,893.5,948.5
P1,tPad,Normal,ThreeQuarters,7863.4498,-210.495318699238578680203045,-2112.3765492816590969810312581,2059.919567869719127879287713,1174.960713732694970004614675,769.968135822062563206315231,1764.881220086051333957537897,2700.450369543973741527184371,769,634,941,885,860,924,968
P1,tPad,Normal,ThreeQuarters,6235.3566,-1838.588518699238578680203045,-3740.4697492816590969810312581,431.826367869719127879287713,-453.132486267305029995385325,-858.125064177937436793684769,136.788020086051333957537897,1072.357169543973741527184371,633,518,839,770,712,817,894
P1,tPad,Normal,ThreeQuarters,6787.3882,-1286.556918699238578680203045,-3188.4381492816590969810312581,983.857967869719127879287713,98.899113732694970004614675,-306.093464177937436793684769,688.819620086051333957537897,1624.388769543973741527184371,679,554,876,813,767,862,925
P1,tPad,Normal,ThreeQuarters,7928.4535,-145.491618699238578680203045,-2047.3728492816590969810312581,2124.923267869719127879287713,1239.964413732694970004614675,834.971835822062563206315231,1829.884920086051333957537897,2765.454069543973741527184371,772,640,946,889,864,928,970
P1,tPad,Normal,ThreeQuarters,6859.3924,-1214.552718699238578680203045,-3116.4339492816590969810312581,1055.862167869719127879287713,170.903313732694970004614675,-234.089264177937436793684769,760.823820086051333957537897,1696.392969543973741527184371,689,565,881,820,778,866,928
P1,tPad,Normal,ThreeQuarters,7444.4258,-629.519318699238578680203045,-2531.4005492816590969810312581,1640.895567869719127879287713,755.936713732694970004614675,350.944135822062563206315231,1345.857220086051333957537897,2281.426369543973741527184371,738,611,918,861,836,901,952
P1,tPad,Normal,ThreeQuarters,5871.3358,-2202.609318699238578680203045,-4104.4905492816590969810312581,67.805567869719127879287713,-817.153286267305029995385325,-1222.145864177937436793684769,-227.232779913948666042462103,708.336369543973741527184371,581.5,483.5,801.5,732.5,673.5,781.5,860.5
P1,tPad,Normal,Half,8807.5038,1118.0453104762933362134139763,-783.8359201061271820874142368,3388.4601970452510427729047343,3985.2005475490080985694709433,4542.0317265347429303971639563,1819.0318436456608580244170393,993.6722089819664663854512993,867,723,989,1004,1021,927,889
P1,tPad,Normal,Half,6763.3868,-926.0716895237066637865860237,-2827.9529201061271820874142368,1344.3431970452510427729047343,1941.0835475490080985694709433,2497.9147265347429303971639563,-225.0851563543391419755829607,-1050.4447910180335336145487007,717,587,898,937,953,783,708
P1,tPad,Normal,Half,9807.5609,2118.1024104762933362134139763,216.2211798938728179125857632,4388.5172970452510427729047343,4985.2576475490080985694709433,5542.0888265347429303971639563,2819.0889436456608580244170393,1993.7293089819664663854512993,913,783,1010,1030,1039,972,942
P1,tPad,Normal,Half,6806.3893,-883.0691895237066637865860237,-2784.9504201061271820874142368,1387.3456970452510427729047343,1984.0860475490080985694709433,2540.9172265347429303971639563,-182.0826563543391419755829607,-1007.4422910180335336145487007,721,590,901,941,955,787,715
P1,tPad,Normal,Half,7841.4485,151.9900104762933362134139763,-1749.8912201061271820874142368,2422.4048970452510427729047343,3019.1452475490080985694709433,3575.9764265347429303971639563,852.9765436456608580244170393,27.6169089819664663854512993,791,664,955,970,994,869,814
P1,tPad,Normal,Half,8271.4731,582.0146104762933362134139763,-1319.8666201061271820874142368,2852.4294970452510427729047343,3449.1698475490080985694709433,4006.0010265347429303971639563,1283.0011436456608580244170393,457.6415089819664663854512993,826,694,970,984,1007,896,846
P1,tPad,Normal,Half,6648.3803,-1041.0781895237066637865860237,-2942.9594201061271820874142368,1229.3366970452510427729047343,1826.0770475490080985694709433,2382.9082265347429303971639563,-340.0916563543391419755829607,-1165.4512910180335336145487007,709,577,889,929,947,775,701
P1,tPad,Normal,Half,5831.3335,-1858.1249895237066637865860237,-3760.0062201061271820874142368,412.2898970452510427729047343,1009.0302475490080985694709433,1565.8614265347429303971639563,-1157.1384563543391419755829607,-1982.4980910180335336145487007,629,516,837,879,905,697,598
P1,tPad,Normal,Half,5987.3424,-1702.1160895237066637865860237,-3603.9973201061271820874142368,568.2987970452510427729047343,1165.0391475490080985694709433,1721.8703265347429303971639563,-1001.1295563543391419755829607,-1826.4891910180335336145487007,643,527,847,884,916,710,619
P1,Normal,Normal,Quarter,14483.8284,6770.149252629650949814223665,1164.6145621487532741529893609,4411.985065652763480960799313,4382.754227751553377860534085,5741.523883213228683375703569,5891.960537654233014764555553,4066.645878605895506789023752,1051,836,1015,1014,1042,1039,1002
P1,Normal,Normal,Quarter,11662.6671,3948.987952629650949814223665,-1656.5467378512467258470106391,1590.823765652763480960799313,1561.592927751553377860534085,2920.362583213228683375703569,3070.799237654233014764555553,1245.484578605895506789023752,985,672,915,912,973,983,905
P1,Normal,Normal,Quarter,8795.5031,1081.823952629650949814223665,-4523.7107378512467258470106391,-1276.340234347236519039200687,-1305.571072248446622139465915,53.198583213228683375703569,203.635237654233014764555553,-1621.679421394104493210976248,864,443,672,673,806,823,650
P1,Normal,Normal,Quarter,17871.0222,10157.343052629650949814223665,4551.8083621487532741529893609,7799.178865652763480960799313,7769.948027751553377860534085,9128.717683213228683375703569,9279.154337654233014764555553,7453.839678605895506789023752,1097,999,1077,1076,1095,1094,1077
