Participant,Device,Method,Size,TimeMillis
P2,Normal,Clipped,Quarter,16078.9196
P2,Normal,Clipped,Quarter,20000.144
P2,Normal,Clipped,Quarter,17250.9867
P2,Normal,Clipped,Quarter,14799.8465
P2,Normal,Clipped,Quarter,21863.2505
P2,Normal,Clipped,Quarter,16530.9456
P2,tPad,Clipped,ThreeQuarters,32195.8415
P2,tPad,Clipped,ThreeQuarters,8250.4719
P2,tPad,Clipped,ThreeQuarters,7931.4537
P2,tPad,Clipped,ThreeQuarters,10819.6188
P2,tPad,Clipped,ThreeQuarters,7415.4241
P2,tPad,Clipped,ThreeQuarters,6489.3712
P2,tPad,Clipped,ThreeQuarters,6879.3935
P2,tPad,Clipped,ThreeQuarters,13582.7768
P2,tPad,Clipped,ThreeQuarters,10463.5985
P2,Normal,Clipped,Half,44246.5308
P2,Normal,Clipped,Half,20012.1447
P2,Normal,Clipped,Half,19650.124
P2,Normal,Clipped,Half,17194.9835
P2,Normal,Clipped,Half,16259.93
P2,Normal,Clipped,Half,13890.7945
P2,Normal,Clipped,Half,20988.2004
P2,Normal,Clipped,Half,24199.3841
P2,Normal,Clipped,Half,10539.6028
P2,tPad,Clipped,Half,18224.0424
P2,tPad,Clipped,Half,10435.5969
P2,tPad,Clipped,Half,9463.5413
P2,tPad,Clipped,Half,23320.3338
P2,tPad,Clipped,Half,11077.6336
P2,tPad,Clipped,Half,6826.3905
P2,tPad,Clipped,Half,7572.4332
P2,tPad,Clipped,Half,7260.4153
P2,tPad,Clipped,Half,6319.3615
P2,Normal,Clipped,ThreeQuarters,18447.0551
P2,Normal,Clipped,ThreeQuarters,19936.1402
P2,Normal,Clipped,ThreeQuarters,23698.3555
P2,Normal,Clipped,ThreeQuarters,11447.6548
P2,Normal,Clipped,ThreeQuarters,18740.0719
P2,Normal,Clipped,ThreeQuarters,13495.7719
P2,Normal,Clipped,ThreeQuarters,15163.8673
P2,Normal,Clipped,ThreeQuarters,13818.7904
P2,Normal,Clipped,ThreeQuarters,17334.9915
P2,tPad,Clipped,Quarter,9207.5267
P2,tPad,Clipped,Quarter,8281.4737
P2,tPad,Clipped,Quarter,6895.3944
P2,tPad,Clipped,Quarter,9998.5719
P2,tPad,Clipped,Quarter,6924.3961
P2,tPad,Clipped,Quarter,8223.4704
P2,tPad,Clipped,Quarter,9567.5472
P2,tPad,Clipped,Quarter,10567.6045
P2,tPad,Clipped,Quarter,7232.4137
P2,tPad,Normal,Quarter,4647.2658
