635135607167902621;Normal;Normal;Half;0;0;12766.7303
635135607403976123;Normal;Normal;Half;0;1;17074.9766
635135607694932765;Normal;Normal;Half;0;2;23223.3283
635135607841531150;Normal;Normal;Half;1;0;10891.623
635135607994809917;Normal;Normal;Half;1;1;10347.5919
635135608158529281;Normal;Normal;Half;1;2;13742.786
635135608255974855;Normal;Normal;Half;2;0;6804.3892
635135608416334027;Normal;Normal;Half;2;1;7052.4034
635135608528730455;Normal;Normal;Half;2;2;7895.4516
635135608786805216;Normal;Normal;ThreeQuarters;0;0;15462.8844
635135608913692474;Normal;Normal;ThreeQuarters;0;1;7642.4371
635135609072531559;Normal;Normal;ThreeQuarters;0;2;10899.6234
635135609268282755;Normal;Normal;ThreeQuarters;1;0;15621.8935
635135609419541407;Normal;Normal;ThreeQuarters;1;1;10637.6084
635135609531527812;Normal;Normal;ThreeQuarters;1;2;8124.4647
635135609658165055;Normal;Normal;ThreeQuarters;2;0;7063.404
635135609815164035;Normal;Normal;ThreeQuarters;2;1;6830.3907
635135609907759331;Normal;Normal;ThreeQuarters;2;2;6159.3523
635135610166594136;Normal;Normal;Quarter;0;0;15922.9108
635135610305682091;Normal;Normal;Quarter;0;1;8616.4928
635135610432999373;Normal;Normal;Quarter;0;2;9479.5422
635135610623550272;Normal;Normal;Quarter;1;0;15590.8917
635135610780629257;Normal;Normal;Quarter;1;1;11390.6515
635135610936878194;Normal;Normal;Quarter;1;2;8396.4803
635135611126149019;Normal;Normal;Quarter;2;0;14642.8375
635135611307909415;Normal;Normal;Quarter;2;1;13671.7819
635135611447877421;Normal;Normal;Quarter;2;2;8860.5068
635135611696471640;Normal;Clipped;Quarter;0;0;16655.9527
635135611899903275;Normal;Clipped;Quarter;0;1;13978.7995
635135612134466692;Normal;Clipped;Quarter;0;2;19768.1307
635135612360939645;Normal;Clipped;Quarter;1;0;16078.9196
635135612652066297;Normal;Clipped;Quarter;1;1;20000.144
635135612880339353;Normal;Clipped;Quarter;1;2;17250.9867
635135613088861280;Normal;Clipped;Quarter;2;0;14799.8465
635135613359616766;Normal;Clipped;Quarter;2;1;21863.2505
635135613572098920;Normal;Clipped;Quarter;2;2;16530.9456
635135614167492974;tPad;Clipped;ThreeQuarters;0;0;32195.8415
635135614294210222;tPad;Clipped;ThreeQuarters;0;1;8250.4719
635135614402886438;tPad;Clipped;ThreeQuarters;0;2;7931.4537
635135614543524482;tPad;Clipped;ThreeQuarters;1;0;10819.6188
635135614662851307;tPad;Clipped;ThreeQuarters;1;1;7415.4241
635135614745506035;tPad;Clipped;ThreeQuarters;1;2;6489.3712
635135614836361231;tPad;Clipped;ThreeQuarters;2;0;6879.3935
635135614991880126;tPad;Clipped;ThreeQuarters;2;1;13582.7768
635135615118767384;tPad;Clipped;ThreeQuarters;2;2;10463.5985
