Reading,xRead,yRead,zRead,xAng,yAng,zAng,x,y,z,direction
801,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
802,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
803,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
804,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
805,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
806,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
807,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
808,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
809,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
810,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
811,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
812,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
813,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
814,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
815,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
816,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
817,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
818,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
819,0.0392857142857,0.0285714285714,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
820,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
821,0.0428571428571,0.0285714285714,0.442857142857,0,-4,87,357.37,360,270,1.0
822,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
823,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
824,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
825,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
826,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
827,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
828,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
829,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
830,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
831,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
832,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
833,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
834,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
835,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
836,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
837,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
838,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
839,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
840,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
841,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
842,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
843,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
844,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
845,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
846,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
847,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
848,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
849,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
850,0.0392857142857,0.0285714285714,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
851,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
852,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
853,0.0392857142857,0.0285714285714,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
854,0.0392857142857,0.0285714285714,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
855,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
856,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
857,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
858,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
859,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
860,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
861,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
862,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
863,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
864,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
865,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
866,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
867,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
868,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
869,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
870,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
871,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
872,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
