Participant,Ticks,Device,Method,Size,Trial,Capture,TimeMillis,Offset,Angle,CaptureRatio,MissRatio
P3,635135711888682401,Normal,Clipped,Half,1,0,19211.0989,.1259,.2564,1.3183,0
P3,635135712032200609,Normal,Clipped,Half,1,1,11527.6593,.0463,.3641,1.1036,0
P3,635135712233202106,Normal,Clipped,Half,1,2,17050.9753,.0965,.758,1.0249,.0148
P3,635135712450844554,Normal,Clipped,Half,2,0,17510.0015,.0743,.8232,1.1391,0
P3,635135712673357281,Normal,Clipped,Half,2,1,20267.1592,.0451,2.3302,1.0285,.0255
P3,635135712805714852,Normal,Clipped,Half,2,2,10663.6099,.0632,1.4754,1.0767,.0038
P3,635135714113349644,Normal,Clipped,ThreeQuarters,0,0,15654.8954,.1033,.2809,1.1917,0
P3,635135714274228846,Normal,Clipped,ThreeQuarters,0,1,12247.7005,.128,1.4255,1.2797,0
P3,635135714506592136,Normal,Clipped,ThreeQuarters,0,2,20886.1946,.0362,.3419,.9971,.0233
P3,635135714704023429,Normal,Clipped,ThreeQuarters,1,0,15814.9046,.0212,2.6692,1.0834,.0103
P3,635135714862222477,Normal,Clipped,ThreeQuarters,1,1,9571.5474,.0156,1.4354,.9837,.036
P3,635135715118747150,Normal,Clipped,ThreeQuarters,1,2,19468.1135,.0776,.1656,1.2161,0
P3,635135715273305990,Normal,Clipped,ThreeQuarters,2,0,11156.6381,.0793,.1605,1.0087,.0254
P3,635135715398143130,Normal,Clipped,ThreeQuarters,2,1,9327.5335,.0825,.4908,1.0992,0
P3,635135715543861465,Normal,Clipped,ThreeQuarters,2,2,11015.6301,.0627,.647,.996,.0301
P4,635138256417378553,Normal,Clipped,Quarter,0,0,22034.2603, ,.4262,1.6922,0
P4,635138256587538286,Normal,Clipped,Quarter,0,1,14670.8392,.1413,.7056,1.6079,0
P4,635138256685303878,Normal,Clipped,Quarter,0,2,7768.4444,9.16,.5978,1.9328,0
P4,635138256832742311,Normal,Clipped,Quarter,1,0,11811.6756, ,.7364,1.4302,0
P4,635138256980580766,Normal,Clipped,Quarter,1,1,10979.628,0,1.0306,1.9359,0
P4,635138257137779758,Normal,Clipped,Quarter,1,2,13451.7694,.1108,5.4615,1.6561,0
P4,635138257262016864,Normal,Clipped,Quarter,2,0,10907.6239,6.7199,4.1077,1.4834,0
P4,635138257383693823,Normal,Clipped,Quarter,2,1,9971.5703,.1168,2.5211,1.821,0
P4,635138257474739031,Normal,Clipped,Quarter,2,2,8000.4576,.1102,2.56,2.7147,0
P4,635138257725093350,Normal,Clipped,Half,0,0,24314.3907,6.9699,1.0147,1.4971,0
P4,635138258039011305,Normal,Clipped,Half,0,1,26639.5237,.1444,.1529,1.3391,0
P4,635138258225171953,Normal,Clipped,Half,0,2,16427.9396, ,.6485,1.1444,1.2999
P4,635138258381210878,Normal,Clipped,Half,1,0,12731.7282,0,1.0926,1.3721,0
P4,635138258555860867,Normal,Clipped,Half,1,1,15144.8662,7.7399,.6024,1.7454,0
P4,635138258741121464,Normal,Clipped,Half,1,2,16674.9538,9.9599,.4754,1.2408,0
P4,635138258899520523,Normal,Clipped,Half,2,0,14026.8022,1.2699,.2253,1.4361,0
P4,635138259039768545,Normal,Clipped,Half,2,1,12263.7014,.1237,0,1.5641,0
P4,635138259299803418,Normal,Clipped,Half,2,2,16184.9257,.17,.8135,1.7242,0
P4,635138260657551077,Normal,Clipped,ThreeQuarters,0,0,13659.7813,.1711,.8881,1.0054,6.56
P4,635138260865712983,Normal,Clipped,ThreeQuarters,0,1,12935.7399,4.12,.7114,1.284,0
P4,635138260982309652,Normal,Clipped,ThreeQuarters,0,2,7996.4574,.1832,.4796,1.2807,0
P4,635138261090225825,Normal,Clipped,ThreeQuarters,1,0,8875.5077,.3715,2.8003,1.4722,.0001
P4,635138261232153942,Normal,Clipped,ThreeQuarters,1,1,11288.6456,8.19,1.3152,1.3479,0
P4,635138261402623693,Normal,Clipped,ThreeQuarters,1,2,13890.7945,.4822,3.951,1.6936,0
P4,635138261669668967,Normal,Clipped,ThreeQuarters,2,0,22700.2984,.3521,1.76,1.3368,0
P4,635138262478305218,Normal,Clipped,ThreeQuarters,2,2,18376.051,.2589,1.5586,1.1878,0
