635138938963655738;Normal;Clipped;Half;0;0;27955.599
635138939117254523;Normal;Clipped;Half;0;1;11580.6623
635138939249812105;Normal;Clipped;Half;0;2;10395.5946
635138939380089557;Normal;Clipped;Half;1;0;10987.6285
635138939526087907;Normal;Clipped;Half;1;1;12651.7236
635138939672526283;Normal;Clipped;Half;1;2;12351.7065
635138939794043233;Normal;Clipped;Half;2;0;10043.5744
635138940006805403;Normal;Clipped;Half;2;1;19156.0957
635138940196096230;Normal;Clipped;Half;2;2;16624.9509
635138940497683479;Normal;Clipped;ThreeQuarters;0;0;26911.5392
635138940783919851;Normal;Clipped;ThreeQuarters;0;1;25788.475
635138940981951178;Normal;Clipped;ThreeQuarters;0;2;17222.9851
635138941444437631;Normal;Clipped;ThreeQuarters;1;0;41008.3456
635138941655389696;Normal;Clipped;ThreeQuarters;1;1;17603.0068
635138941908084150;Normal;Clipped;ThreeQuarters;1;2;21129.2086
635138942094024785;Normal;Clipped;ThreeQuarters;2;0;15802.9039
635138942295066284;Normal;Clipped;ThreeQuarters;2;1;17608.0071
635138942500508034;Normal;Clipped;ThreeQuarters;2;2;17496.0007
635138942802265294;Normal;Clipped;Quarter;0;0;22647.2954
635138942988185928;Normal;Clipped;Quarter;0;1;15547.8893
635138943292623341;Normal;Clipped;Quarter;0;2;27670.5827
635138943451222412;Normal;Clipped;Quarter;1;0;13239.7573
635138943644613473;Normal;Clipped;Quarter;1;1;16270.9306
635138943811092996;Normal;Clipped;Quarter;1;2;13855.7926
635138943993063404;Normal;Clipped;Quarter;2;0;15448.8837
635138944360294408;Normal;Clipped;Quarter;2;1;33535.9181
635138944698013725;Normal;Clipped;Quarter;2;2;30803.7619
635138945256765683;tPad;Normal;Quarter;0;0;53351.0515
635138945383762947;tPad;Normal;Quarter;0;1;8063.4612
635138945599885309;tPad;Normal;Quarter;0;2;18816.0763
635138945736483122;tPad;Normal;Quarter;1;0;10347.5919
635138945818877834;tPad;Normal;Quarter;1;1;5123.293
635138945945565080;tPad;Normal;Quarter;1;2;9692.5543
635138946072042314;tPad;Normal;Quarter;2;0;9307.5323
635138946195599382;tPad;Normal;Quarter;2;1;9251.5292
635138946323476696;tPad;Normal;Quarter;2;2;10107.5782
635138946537518938;Normal;Normal;ThreeQuarters;0;0;10807.6181
635138947193956484;Normal;Normal;ThreeQuarters;0;1;58547.3487
635138947345155132;Normal;Normal;ThreeQuarters;0;2;10291.5886
635138947477752716;Normal;Normal;ThreeQuarters;1;0;10379.5936
635138947602469850;Normal;Normal;ThreeQuarters;1;1;8511.4868
635138947726356936;Normal;Normal;ThreeQuarters;1;2;9524.5448
635138947848893945;Normal;Normal;ThreeQuarters;2;0;9546.5461
635138947990942069;Normal;Normal;ThreeQuarters;2;1;11097.6347
635138948142350729;Normal;Normal;ThreeQuarters;2;2;12127.6936
635138948526662711;tPad;Normal;Half;0;0;31465.7998
635138948675581228;tPad;Normal;Half;0;1;9875.5648
635138948779857193;tPad;Normal;Half;0;2;6887.394
635138948875382656;tPad;Normal;Half;1;0;4408.2521
635138948937906232;tPad;Normal;Half;1;1;2172.1242
635138948993499412;tPad;Normal;Half;1;2;2960.1693
635138949050782689;tPad;Normal;Half;2;0;3315.1897
635138949168659431;tPad;Normal;Half;2;1;4352.249
635138949317457942;tPad;Normal;Half;2;2;8975.5134
635138949711010452;Normal;Normal;Half;0;0;34314.9628
635138949848858336;Normal;Normal;Half;0;1;12447.712
635138949982575984;Normal;Normal;Half;0;2;11335.6483
635138950187127684;Normal;Normal;Half;1;0;18267.0448
635138950372208270;Normal;Normal;Half;1;1;15815.9046
635138950518726650;Normal;Normal;Half;1;2;13035.7456
635138950667205143;Normal;Normal;Half;2;0;12971.742
635138950834924736;Normal;Normal;Half;2;1;14578.8339
635138950966082238;Normal;Normal;Half;2;2;11663.6672
635138951214246432;tPad;Normal;ThreeQuarters;0;0;23432.3403
635138951303161517;tPad;Normal;ThreeQuarters;0;1;6243.3571
635138951377765784;tPad;Normal;ThreeQuarters;0;2;4665.2668
635138951497322623;tPad;Normal;ThreeQuarters;1;0;6891.3942
635138951532844654;tPad;Normal;ThreeQuarters;1;1;1884.1077
635138951644761056;tPad;Normal;ThreeQuarters;1;2;7667.4386
635138951763077823;tPad;Normal;ThreeQuarters;2;0;7363.4212
635138951881594602;tPad;Normal;ThreeQuarters;2;1;8827.5049
635138951964029317;tPad;Normal;ThreeQuarters;2;2;4747.2715
635138952213233570;Normal;Normal;Quarter;0;0;13110.7498
635138952550472859;Normal;Normal;Quarter;0;1;29675.6973
635138952729233084;Normal;Normal;Quarter;0;2;10571.6047
635138952849349954;Normal;Normal;Quarter;1;0;9687.5541
635138952963026456;Normal;Normal;Quarter;1;1;8235.471
635138953074672842;Normal;Normal;Quarter;1;2;8475.4848
635138953258613363;Normal;Normal;Quarter;2;0;16341.9347
635138953384700575;Normal;Normal;Quarter;2;1;10162.5813
635138953530318903;Normal;Normal;Quarter;2;2;11496.6575
635138953897269892;tPad;Clipped;Quarter;0;0;34579.9779
635138954034867762;tPad;Clipped;Quarter;0;1;11488.6571
635138954163345110;tPad;Clipped;Quarter;0;2;10587.6055
635138954220378373;tPad;Clipped;Quarter;1;0;4175.2388
635138954414299464;tPad;Clipped;Quarter;1;1;17166.9819
635138954541336730;tPad;Clipped;Quarter;1;2;10811.6184
635138954686345024;tPad;Clipped;Quarter;2;0;12416.7102
635138954800341545;tPad;Clipped;Quarter;2;1;9111.5212
635138954969341211;tPad;Clipped;Quarter;2;2;14947.855
