Participant,Method,AppsNumber,Distance,Rechecks,aligned(Rechecks) for Method,aligned(Rechecks) for AppsNumber,aligned(Rechecks) for Method*AppsNumber,aligned(Rechecks) for Distance,aligned(Rechecks) for Method*Distance,aligned(Rechecks) for AppsNumber*Distance,aligned(Rechecks) for Method*AppsNumber*Distance,ART(Rechecks) for Method,ART(Rechecks) for AppsNumber,ART(Rechecks) for Method*AppsNumber,ART(Rechecks) for Distance,ART(Rechecks) for Method*Distance,ART(Rechecks) for AppsNumber*Distance,ART(Rechecks) for Method*AppsNumber*Distance
P1,Home,2,1,0,-0.3016452186649926762921113204,-0.0026483050847457627118644068,-0.0774939840970914417242100858,-0.0518197899179953018437564799,-0.0588334318832082568984313550,-0.0370910777128410635655890183,-0.0326543194438963695315200709,1445,1590,1527,1819,1718,1743,1931
P1,Home,2,1,0,-0.3016452186649926762921113204,-0.0026483050847457627118644068,-0.0774939840970914417242100858,-0.0518197899179953018437564799,-0.0588334318832082568984313550,-0.0370910777128410635655890183,-0.0326543194438963695315200709,1445,1590,1527,1819,1718,1743,1931
P1,Home,3,2,0,-0.3998223852783601211274167249,0.0056560097833682739343116702,-0.2636341136734218495224784533,-0.1401471303132500835536110351,-0.0914576901810481861668903298,-0.0914053772685210996097685012,-0.1704384395537424755334617900,517,1666,882,1030,1214,1504,786
P1,Home,3,0,0,-0.3697877299067775258251448728,0.0356906651549508692365835223,-0.2335994583018392542202066012,-0.0852193202010806152957247333,-0.1313402665966014204815491392,-0.0992610579716938708428167048,-0.0875240264324381523368255225,694,1838,1016,1361,1025,1458,1418
P1,Home,3,0,0,-0.3697877299067775258251448728,0.0356906651549508692365835223,-0.2335994583018392542202066012,-0.0852193202010806152957247333,-0.1313402665966014204815491392,-0.0992610579716938708428167048,-0.0875240264324381523368255225,694,1838,1016,1361,1025,1458,1418
P1,Home,3,2,0,-0.3998223852783601211274167249,0.0056560097833682739343116702,-0.2636341136734218495224784533,-0.1401471303132500835536110351,-0.0914576901810481861668903298,-0.0914053772685210996097685012,-0.1704384395537424755334617900,517,1666,882,1030,1214,1504,786
P1,Home,3,1,0,-0.3315767008142894667717362753,0.0739016942474389282899921198,-0.1953884292093511951667980037,-0.0817512720672920923233814348,-0.0887649140325050473780563099,-0.0860045449088612482689103361,-0.0321908529156914938263422265,1135,1946,1208,1406,1260,1593,1982
P1,Home,3,1,0,-0.3315767008142894667717362753,0.0739016942474389282899921198,-0.1953884292093511951667980037,-0.0817512720672920923233814348,-0.0887649140325050473780563099,-0.0860045449088612482689103361,-0.0321908529156914938263422265,1135,1946,1208,1406,1260,1593,1982
P1,Home,3,1,0,-0.3315767008142894667717362753,0.0739016942474389282899921198,-0.1953884292093511951667980037,-0.0817512720672920923233814348,-0.0887649140325050473780563099,-0.0860045449088612482689103361,-0.0321908529156914938263422265,1135,1946,1208,1406,1260,1593,1982
P1,Home,3,2,2,1.6001776147216398788725832751,2.0056560097833682739343116702,1.7363658863265781504775215467,1.8598528696867499164463889649,1.9085423098189518138331096702,1.9085946227314789003902314988,1.8295615604462575244665382100,2457,2504,2487,2494,2499,2505,2481
P1,Home,3,3,0,-0.3572991523862170628339782569,0.0481792426755113322277501382,-0.2211108807812787912290399853,-0.0780953705453044202335719434,-0.0823023922217096512338425649,-0.1040303913379201495581620275,-0.1014507845351984489578397163,889,1892,1107,1499,1314,1404,1250
P1,Home,3,3,0,-0.3572991523862170628339782569,0.0481792426755113322277501382,-0.2211108807812787912290399853,-0.0780953705453044202335719434,-0.0823023922217096512338425649,-0.1040303913379201495581620275,-0.1014507845351984489578397163,889,1892,1107,1499,1314,1404,1250
P1,Home,3,2,0,-0.3998223852783601211274167249,0.0056560097833682739343116702,-0.2636341136734218495224784533,-0.1401471303132500835536110351,-0.0914576901810481861668903298,-0.0914053772685210996097685012,-0.1704384395537424755334617900,517,1666,882,1030,1214,1504,786
P1,Home,3,3,0,-0.3572991523862170628339782569,0.0481792426755113322277501382,-0.2211108807812787912290399853,-0.0780953705453044202335719434,-0.0823023922217096512338425649,-0.1040303913379201495581620275,-0.1014507845351984489578397163,889,1892,1107,1499,1314,1404,1250
P1,Home,3,3,0,-0.3572991523862170628339782569,0.0481792426755113322277501382,-0.2211108807812787912290399853,-0.0780953705453044202335719434,-0.0823023922217096512338425649,-0.1040303913379201495581620275,-0.1014507845351984489578397163,889,1892,1107,1499,1314,1404,1250
P1,Home,3,3,0,-0.3572991523862170628339782569,0.0481792426755113322277501382,-0.2211108807812787912290399853,-0.0780953705453044202335719434,-0.0823023922217096512338425649,-0.1040303913379201495581620275,-0.1014507845351984489578397163,889,1892,1107,1499,1314,1404,1250
P1,Home,3,3,0,-0.3572991523862170628339782569,0.0481792426755113322277501382,-0.2211108807812787912290399853,-0.0780953705453044202335719434,-0.0823023922217096512338425649,-0.1040303913379201495581620275,-0.1014507845351984489578397163,889,1892,1107,1499,1314,1404,1250
P1,Home,3,2,0,-0.3998223852783601211274167249,0.0056560097833682739343116702,-0.2636341136734218495224784533,-0.1401471303132500835536110351,-0.0914576901810481861668903298,-0.0914053772685210996097685012,-0.1704384395537424755334617900,517,1666,882,1030,1214,1504,786
P1,Home,3,3,0,-0.3572991523862170628339782569,0.0481792426755113322277501382,-0.2211108807812787912290399853,-0.0780953705453044202335719434,-0.0823023922217096512338425649,-0.1040303913379201495581620275,-0.1014507845351984489578397163,889,1892,1107,1499,1314,1404,1250
P1,Home,3,3,0,-0.3572991523862170628339782569,0.0481792426755113322277501382,-0.2211108807812787912290399853,-0.0780953705453044202335719434,-0.0823023922217096512338425649,-0.1040303913379201495581620275,-0.1014507845351984489578397163,889,1892,1107,1499,1314,1404,1250
P1,RuntimeBar,1,0,0,-0.3495370370370370370370370370,-0.2523148148148148148148148148,0.0578703703703703703703703704,-0.0665118372078833363841601074,-0.0746918664958203673195435962,-0.1058900422835483938535402795,-0.0677210688275627172575708316,1090.5,1022.5,1758.5,1756.5,1509.5,1350.5,1653.5
P1,RuntimeBar,1,0,0,-0.3495370370370370370370370370,-0.2523148148148148148148148148,0.0578703703703703703703703704,-0.0665118372078833363841601074,-0.0746918664958203673195435962,-0.1058900422835483938535402795,-0.0677210688275627172575708316,1090.5,1022.5,1758.5,1756.5,1509.5,1350.5,1653.5
P1,RuntimeBar,1,0,0,-0.3495370370370370370370370370,-0.2523148148148148148148148148,0.0578703703703703703703703704,-0.0665118372078833363841601074,-0.0746918664958203673195435962,-0.1058900422835483938535402795,-0.0677210688275627172575708316,1090.5,1022.5,1758.5,1756.5,1509.5,1350.5,1653.5
P1,RuntimeBar,1,3,0,-0.2662037037037037037037037037,-0.1689814814814814814814814815,0.1412037037037037037037037037,0.0114568682606657290201593999,-0.0585949153987128670672974470,-0.0318727759716554072229523568,0.0141960082948877304552755891,1591,1237,2109,2055,1797,1849,2024
P1,RuntimeBar,1,3,0,-0.2662037037037037037037037037,-0.1689814814814814814814814815,0.1412037037037037037037037037,0.0114568682606657290201593999,-0.0585949153987128670672974470,-0.0318727759716554072229523568,0.0141960082948877304552755891,1591,1237,2109,2055,1797,1849,2024
P1,RuntimeBar,1,3,0,-0.2662037037037037037037037037,-0.1689814814814814814814814815,0.1412037037037037037037037037,0.0114568682606657290201593999,-0.0585949153987128670672974470,-0.0318727759716554072229523568,0.0141960082948877304552755891,1591,1237,2109,2055,1797,1849,2024
P1,RuntimeBar,1,1,0,-0.3703703703703703703703703704,-0.2731481481481481481481481482,0.0370370370370370370370370370,-0.1220881514999162057985587398,-0.0794588924384320803758143912,-0.0908748114630467571644042232,-0.0848929594134197714760374607,650,899,1715,1122,1408,1549,1462
P1,RuntimeBar,1,1,0,-0.3703703703703703703703703704,-0.2731481481481481481481481482,0.0370370370370370370370370370,-0.1220881514999162057985587398,-0.0794588924384320803758143912,-0.0908748114630467571644042232,-0.0848929594134197714760374607,650,899,1715,1122,1408,1549,1462
P1,RuntimeBar,1,1,0,-0.3703703703703703703703703704,-0.2731481481481481481481481482,0.0370370370370370370370370370,-0.1220881514999162057985587398,-0.0794588924384320803758143912,-0.0908748114630467571644042232,-0.0848929594134197714760374607,650,899,1715,1122,1408,1549,1462
P1,RuntimeBar,1,0,0,-0.3495370370370370370370370370,-0.2523148148148148148148148148,0.0578703703703703703703703704,-0.0665118372078833363841601074,-0.0746918664958203673195435962,-0.1058900422835483938535402795,-0.0677210688275627172575708316,1090.5,1022.5,1758.5,1756.5,1509.5,1350.5,1653.5
P1,RuntimeBar,1,0,0,-0.3495370370370370370370370370,-0.2523148148148148148148148148,0.0578703703703703703703703704,-0.0665118372078833363841601074,-0.0746918664958203673195435962,-0.1058900422835483938535402795,-0.0677210688275627172575708316,1090.5,1022.5,1758.5,1756.5,1509.5,1350.5,1653.5
P1,RuntimeBar,1,0,0,-0.3495370370370370370370370370,-0.2523148148148148148148148148,0.0578703703703703703703703704,-0.0665118372078833363841601074,-0.0746918664958203673195435962,-0.1058900422835483938535402795,-0.0677210688275627172575708316,1090.5,1022.5,1758.5,1756.5,1509.5,1350.5,1653.5
P1,RuntimeBar,1,2,0,-0.3279320987654320987654320988,-0.2307098765432098765432098766,0.0794753086419753086419753086,-0.0698000536768652710681696189,-0.0404292232190782915420596581,-0.0313503391401942126579807740,-0.1084203839638622247317899491,1196.5,1083.5,1846.5,1610.5,1940.5,1907.5,1095.5
P1,RuntimeBar,1,2,0,-0.3279320987654320987654320988,-0.2307098765432098765432098766,0.0794753086419753086419753086,-0.0698000536768652710681696189,-0.0404292232190782915420596581,-0.0313503391401942126579807740,-0.1084203839638622247317899491,1196.5,1083.5,1846.5,1610.5,1940.5,1907.5,1095.5
P1,RuntimeBar,1,2,0,-0.3279320987654320987654320988,-0.2307098765432098765432098766,0.0794753086419753086419753086,-0.0698000536768652710681696189,-0.0404292232190782915420596581,-0.0313503391401942126579807740,-0.1084203839638622247317899491,1196.5,1083.5,1846.5,1610.5,1940.5,1907.5,1095.5
P1,RuntimeBar,1,2,0,-0.3279320987654320987654320988,-0.2307098765432098765432098766,0.0794753086419753086419753086,-0.0698000536768652710681696189,-0.0404292232190782915420596581,-0.0313503391401942126579807740,-0.1084203839638622247317899491,1196.5,1083.5,1846.5,1610.5,1940.5,1907.5,1095.5
P1,RuntimeBar,1,2,0,-0.3279320987654320987654320988,-0.2307098765432098765432098766,0.0794753086419753086419753086,-0.0698000536768652710681696189,-0.0404292232190782915420596581,-0.0313503391401942126579807740,-0.1084203839638622247317899491,1196.5,1083.5,1846.5,1610.5,1940.5,1907.5,1095.5
P1,RuntimeBar,1,2,0,-0.3279320987654320987654320988,-0.2307098765432098765432098766,0.0794753086419753086419753086,-0.0698000536768652710681696189,-0.0404292232190782915420596581,-0.0313503391401942126579807740,-0.1084203839638622247317899491,1196.5,1083.5,1846.5,1610.5,1940.5,1907.5,1095.5
P1,TapNFlip,3,1,3,2.5140133412982875348466746316,2.4441830943847072879330943847,2.4356954400637196336121067303,2.2885301280699762673197208301,2.2342055492355935113683374278,2.2842768552284071113741919288,2.2790089728423671959592551896,2526.5,2534.5,2534.5,2527.5,2527.5,2527.5,2531.5
P1,TapNFlip,3,3,3,2.4180880441845354126055880442,2.3482577972709551656920077973,2.3397701429499675113710201429,2.2219831840501394132306857157,2.1945091756464386945439527114,2.1960481632575236839060956316,2.1857050910809859276175115554,2523,2528,2524,2523,2522,2523,2522
P1,TapNFlip,3,3,0,-0.5819119558154645873944119558,-0.6517422027290448343079922027,-0.6602298570500324886289798571,-0.7780168159498605867693142843,-0.8054908243535613054560472886,-0.8039518367424763160939043684,-0.8142949089190140723824884446,158,217,185,158,187,158,156
P1,TapNFlip,3,1,0,-0.4859866587017124651533253684,-0.5558169056152927120669056153,-0.5643045599362803663878932697,-0.7114698719300237326802791699,-0.7657944507644064886316625722,-0.7157231447715928886258080712,-0.7209910271576328040407448104,188.5,355.5,355.5,235.5,235.5,215.5,261.5
P1,TapNFlip,3,1,0,-0.4859866587017124651533253684,-0.5558169056152927120669056153,-0.5643045599362803663878932697,-0.7114698719300237326802791699,-0.7657944507644064886316625722,-0.7157231447715928886258080712,-0.7209910271576328040407448104,188.5,355.5,355.5,235.5,235.5,215.5,261.5
P1,TapNFlip,3,3,3,2.4180880441845354126055880442,2.3482577972709551656920077973,2.3397701429499675113710201429,2.2219831840501394132306857157,2.1945091756464386945439527114,2.1960481632575236839060956316,2.1857050910809859276175115554,2523,2528,2524,2523,2522,2523,2522
P1,TapNFlip,3,0,0,-0.6185252281266774020397208803,-0.6883554750402576489533011272,-0.6968431293612453032742887816,-0.8092654603962891334856093828,-0.8049499305759572240177599025,-0.8233071981669023890327013543,-0.8740716137594019781016105198,136.5,163.5,136.5,136.5,208.5,114.5,134.5
P1,TapNFlip,3,2,1,0.1487381989832970225127087872,0.0789079520697167755991285403,0.0704202977487291212781408859,-0.0668951880269015818887941650,0.0147919450028116914450001966,-0.0181534349821725979449516311,0.0604527564376350374083534426,2037,1982,1794,1721,2060,1960,2080
P1,TapNFlip,3,0,1,0.3814747718733225979602791197,0.3116445249597423510466988728,0.3031568706387546967257112184,0.1907345396037108665143906172,0.1950500694240427759822400975,0.1766928018330976109672986457,0.1259283862405980218983894802,2155.5,2171.5,2155.5,2155.5,2222.5,2139.5,2165.5
P1,TapNFlip,3,2,0,-0.8512618010167029774872912128,-0.9210920479302832244008714597,-0.9295797022512708787218591141,-1.0668951880269015818887941650,-0.9852080549971883085549998034,-1.0181534349821725979449516311,-0.9395472435623649625916465574,9,28,28,9,26,52,61
P1,TapNFlip,3,0,1,0.3814747718733225979602791197,0.3116445249597423510466988728,0.3031568706387546967257112184,0.1907345396037108665143906172,0.1950500694240427759822400975,0.1766928018330976109672986457,0.1259283862405980218983894802,2155.5,2171.5,2155.5,2155.5,2222.5,2139.5,2165.5
P1,TapNFlip,3,0,0,-0.6185252281266774020397208803,-0.6883554750402576489533011272,-0.6968431293612453032742887816,-0.8092654603962891334856093828,-0.8049499305759572240177599025,-0.8233071981669023890327013543,-0.8740716137594019781016105198,136.5,163.5,136.5,136.5,208.5,114.5,134.5
P1,TapNFlip,3,1,0,-0.4859866587017124651533253684,-0.5558169056152927120669056153,-0.5643045599362803663878932697,-0.7114698719300237326802791699,-0.7657944507644064886316625722,-0.7157231447715928886258080712,-0.7209910271576328040407448104,188.5,355.5,355.5,235.5,235.5,215.5,261.5
P1,TapNFlip,3,1,0,-0.4859866587017124651533253684,-0.5558169056152927120669056153,-0.5643045599362803663878932697,-0.7114698719300237326802791699,-0.7657944507644064886316625722,-0.7157231447715928886258080712,-0.7209910271576328040407448104,188.5,355.5,355.5,235.5,235.5,215.5,261.5
P1,TapNFlip,3,3,2,1.4180880441845354126055880442,1.3482577972709551656920077973,1.3397701429499675113710201429,1.2219831840501394132306857157,1.1945091756464386945439527114,1.1960481632575236839060956316,1.1857050910809859276175115554,2435,2439,2437,2435,2438,2435,2436
P1,TapNFlip,3,0,0,-0.6185252281266774020397208803,-0.6883554750402576489533011272,-0.6968431293612453032742887816,-0.8092654603962891334856093828,-0.8049499305759572240177599025,-0.8233071981669023890327013543,-0.8740716137594019781016105198,136.5,163.5,136.5,136.5,208.5,114.5,134.5
P1,TapNFlip,3,2,1,0.1487381989832970225127087872,0.0789079520697167755991285403,0.0704202977487291212781408859,-0.0668951880269015818887941650,0.0147919450028116914450001966,-0.0181534349821725979449516311,0.0604527564376350374083534426,2037,1982,1794,1721,2060,1960,2080
P1,TapNFlip,3,2,1,0.1487381989832970225127087872,0.0789079520697167755991285403,0.0704202977487291212781408859,-0.0668951880269015818887941650,0.0147919450028116914450001966,-0.0181534349821725979449516311,0.0604527564376350374083534426,2037,1982,1794,1721,2060,1960,2080
P1,RuntimeBar,2,0,0,-0.4171470999301187980433263452,-0.1196933962264150943396226415,-0.1729341369671558350803633822,-0.1341219001009650973904494156,-0.1423019293889021283258329044,-0.1259930068299795694032739819,-0.1522652042112503397511634745,379,1327,1254,1077,979,963,993
P1,RuntimeBar,2,0,0,-0.4171470999301187980433263452,-0.1196933962264150943396226415,-0.1729341369671558350803633822,-0.1341219001009650973904494156,-0.1423019293889021283258329044,-0.1259930068299795694032739819,-0.1522652042112503397511634745,379,1327,1254,1077,979,963,993
P1,RuntimeBar,2,0,0,-0.4171470999301187980433263452,-0.1196933962264150943396226415,-0.1729341369671558350803633822,-0.1341219001009650973904494156,-0.1423019293889021283258329044,-0.1259930068299795694032739819,-0.1522652042112503397511634745,379,1327,1254,1077,979,963,993
P1,RuntimeBar,2,2,0,-0.3539230019493177387914230019,-0.0564692982456140350877192982,-0.1097100389863547758284600389,-0.0957909568607509110941605220,-0.0664201264029639315680505612,-0.1196939359267734553775743707,-0.0831047273982056590752242926,1042,1476,1425,1312,1663,1108,1551
P1,RuntimeBar,2,0,0,-0.4171470999301187980433263452,-0.1196933962264150943396226415,-0.1729341369671558350803633822,-0.1341219001009650973904494156,-0.1423019293889021283258329044,-0.1259930068299795694032739819,-0.1522652042112503397511634745,379,1327,1254,1077,979,963,993
P1,RuntimeBar,2,2,0,-0.3539230019493177387914230019,-0.0564692982456140350877192982,-0.1097100389863547758284600389,-0.0957909568607509110941605220,-0.0664201264029639315680505612,-0.1196939359267734553775743707,-0.0831047273982056590752242926,1042,1476,1425,1312,1663,1108,1551
P1,RuntimeBar,2,2,0,-0.3539230019493177387914230019,-0.0564692982456140350877192982,-0.1097100389863547758284600389,-0.0957909568607509110941605220,-0.0664201264029639315680505612,-0.1196939359267734553775743707,-0.0831047273982056590752242926,1042,1476,1425,1312,1663,1108,1551
P1,RuntimeBar,2,0,0,-0.4171470999301187980433263452,-0.1196933962264150943396226415,-0.1729341369671558350803633822,-0.1341219001009650973904494156,-0.1423019293889021283258329044,-0.1259930068299795694032739819,-0.1522652042112503397511634745,379,1327,1254,1077,979,963,993
P1,RuntimeBar,2,2,0,-0.3539230019493177387914230019,-0.0564692982456140350877192982,-0.1097100389863547758284600389,-0.0957909568607509110941605220,-0.0664201264029639315680505612,-0.1196939359267734553775743707,-0.0831047273982056590752242926,1042,1476,1425,1312,1663,1108,1551
