635139090949878946,tPad,Normal,Quarter,0,0,32011.831,0.1104,1.8798,0,0
635139091109668085,tPad,Normal,Quarter,0,1,12971.7419,0.0989,2.0793,0,0
635139091218904333,tPad,Normal,Quarter,0,2,6551.3747,0.0752,0.967,0,0
635139091294018630,tPad,Normal,Quarter,1,0,6639.3798,0.0881,0.1862,0,0
635139091377823423,tPad,Normal,Quarter,1,1,7443.4257,0.0176,1.1545,0,0
635139091415465576,tPad,Normal,Quarter,1,2,2864.1638,0.0629,0.577,0,0
635139091485779598,tPad,Normal,Quarter,2,0,6127.3505,0.0713,1.1532,0,0
635139091530022128,tPad,Normal,Quarter,2,1,3667.2097,0.039,0.6427,0,0
635139091586265345,tPad,Normal,Quarter,2,2,4928.2819,0.0386,0.5603,0,0
635139091682780866,tPad,Normal,Half,0,0,8979.5136,0.1039,1.9745,0,0
635139091706382215,tPad,Normal,Half,0,1,1508.0862,0.1249,2.7058,0,0
635139091757775155,tPad,Normal,Half,0,2,4159.2379,0.1977,0.1359,0,0
635139091806697953,tPad,Normal,Half,1,0,4355.2491,0.1607,1.4857,0,0
635139091923214618,tPad,Normal,Half,1,1,11131.6367,0.1375,1.8347,0,0
635139091987098271,tPad,Normal,Half,1,2,5671.3243,0.1274,0.7448,0,0
635139092011299656,tPad,Normal,Half,2,0,1892.1082,0.1031,1.233,0,0
635139092028470638,tPad,Normal,Half,2,1,1257.0719,0.1087,2.0825,0,0
635139092075333318,tPad,Normal,Half,2,2,4171.2386,0.1232,0.6335,0,0
635139092837056886,Normal,Clipped,ThreeQuarters,0,0,75731.3316,0.956,1.8581,1.9199,0
635139093076570586,Normal,Clipped,ThreeQuarters,0,1,18368.0506,0.1628,0.6576,1.2924,0
635139093247690373,Normal,Clipped,ThreeQuarters,0,2,13555.7753,0.2396,0.3343,1.4089,0
635139093472043205,Normal,Clipped,ThreeQuarters,1,0,19875.1367,0.1218,2.4437,1.307,0
635139093605240824,Normal,Clipped,ThreeQuarters,1,1,11690.6687,0.354,0.1567,1.48,0
635139093844884531,Normal,Clipped,ThreeQuarters,1,2,15307.8756,0.1543,0.4755,1.4065,0
635139093978322163,Normal,Clipped,ThreeQuarters,2,0,9079.5193,0.1919,3.9198,1.3448,0
635139094084678246,Normal,Clipped,ThreeQuarters,2,1,7423.4246,0.2021,1.7687,1.3962,0
635139094196764657,Normal,Clipped,ThreeQuarters,2,2,9659.5525,0.4427,1.7889,1.6323,0
635139094455519457,tPad,Normal,ThreeQuarters,0,0,13795.7891,8.5105,38.3675,0,0
635139094523163326,tPad,Normal,ThreeQuarters,0,1,5605.3206,8.8229,24.3045,0,0
635139094610078297,tPad,Normal,ThreeQuarters,0,2,7907.4522,5.5376,24.2182,0,0
635139094622078984,tPad,Normal,ThreeQuarters,1,0,6.35139E+13,7.0242,29.0361,0,0
635139094690042871,tPad,Normal,ThreeQuarters,1,1,6388.3654,7.4683,27.8381,0,0
635139094738635650,tPad,Normal,ThreeQuarters,1,2,4339.2481,7.567,29.2299,0,0
635139094790318607,tPad,Normal,ThreeQuarters,2,0,4623.2645,7.9132,30.8157,0,0
635139094843921672,tPad,Normal,ThreeQuarters,2,1,4456.2548,7.7548,24.3994,0,0
635139094902355015,tPad,Normal,ThreeQuarters,2,2,5403.3091,8.307,31.31,0,0
635139095425674947,Normal,Clipped,Half,0,0,51863.9665,0.5852,2.1442,1.7316,0
635139095616635869,Normal,Clipped,Half,0,1,15647.895,0.1607,1.0984,1.1977,0.0024
635139095724872060,Normal,Clipped,Half,0,2,9071.5189,0.1661,0.5678,1.2039,0.0027
635139095968065970,Normal,Clipped,Half,1,0,22775.3027,0.113,0.4636,1.4199,0
635139096083432568,Normal,Clipped,Half,1,1,10532.6024,0.2051,2.712,1.4198,0
635139096265342973,Normal,Clipped,Half,1,2,16970.9707,0.1562,0.7725,1.382,0
